taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
8993508	Palicourea sessilis (Vell.) C.M.Taylor	8993508	Palicourea sessilis (Vell.) C.M.Taylor	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Palicourea	2898662	Palicourea sessilis	8993508	NE
5338405	Manettia cordifolia Mart.	5338405	Manettia cordifolia Mart.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Manettia	2906969	Manettia cordifolia	5338405	NE
2705862	Urochloa brizantha (A.Rich.) R.D.Webster	2705862	Urochloa brizantha (A.Rich.) R.D.Webster	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Urochloa	2705813	Urochloa brizantha	2705862	NE
3985635	Banisteriopsis campestris (A.Juss.) Little	3985635	Banisteriopsis campestris (A.Juss.) Little	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Malpighiaceae	6676	Banisteriopsis	7618041	Banisteriopsis campestris	3985635	NE
5417616	Eugenia pyriformis Cambess.	5417616	Eugenia pyriformis Cambess.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Eugenia	3177662	Eugenia pyriformis	5417616	LC
2953547	Bauhinia holophylla (Bong.) Steud.	2953547	Bauhinia holophylla (Bong.) Steud.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Bauhinia	2952935	Bauhinia holophylla	2953547	NE
7384743	Declieuxia cordigera Mart. ex Zucc.	7384743	Declieuxia cordigera Mart. ex Zucc.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Declieuxia	2912315	Declieuxia cordigera	7384743	NE
3890115	Aegiphila verticillata Vell.	3890115	Aegiphila verticillata Vell.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Aegiphila	9156446	Aegiphila verticillata	3890115	LC
2951721	Stryphnodendron obovatum Benth.	2951724	Stryphnodendron rotundifolium Mart.	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Stryphnodendron	2951701	Stryphnodendron rotundifolium	2951724	NE
3173903	Myrcia variabilis DC.	3173903	Myrcia variabilis DC.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Myrcia	3173889	Myrcia variabilis	3173903	LC
