taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2898239	Tocoyena formosa (Cham. & Schltdl.) K.Schum.	2898239	Tocoyena formosa (Cham. & Schltdl.) K.Schum.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Tocoyena	2898227	Tocoyena formosa	2898239	NE
4030658	Qualea grandiflora Mart.	4030658	Qualea grandiflora Mart.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Vochysiaceae	3231623	Qualea	7288308	Qualea grandiflora	4030658	LC
3157605	Duguetia furfuracea (A.St.-Hil.) Saff.	3157605	Duguetia furfuracea (A.St.-Hil.) Saff.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Magnoliales	718	Annonaceae	9291	Duguetia	3157467	Duguetia furfuracea	3157605	LC
3623834	Cayaponia espelina (Silva Manso) Cogn.	3623834	Cayaponia espelina (Silva Manso) Cogn.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Cucurbitales	7224005	Cucurbitaceae	6634	Cayaponia	2874613	Cayaponia espelina	3623834	NE
3860779	Miconia albicans (Sw.) Steud.	3860779	Miconia albicans (Sw.) Steud.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Miconia	3188558	Miconia albicans	3860779	LC
2949918	Chamaecrista desvauxii var. latistipula (Benth.) G.P.Lewis	2949918	Chamaecrista desvauxii var. latistipula (Benth.) G.P.Lewis	1	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Chamaecrista	2949492	Chamaecrista desvauxii	2949909	
8501730	Peritassa campestris (Cambess.) A.C.Sm.	8501730	Peritassa campestris (Cambess.) A.C.Sm.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Celastrales	950	Celastraceae	6715	Peritassa	7265649	Peritassa campestris	8501730	NE
3696484	Ouratea spectabilis Mart. ex Engl.	3696484	Ouratea spectabilis Mart. ex Engl.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Ochnaceae	6642	Ouratea	3189667	Ouratea spectabilis	3696484	NE
2949909	Chamaecrista desvauxii (Collad.) Killip	2949909	Chamaecrista desvauxii (Collad.) Killip	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Chamaecrista	2949492	Chamaecrista desvauxii	2949909	LC
7722389	Mikania Willd.	7722389	Mikania Willd.	2	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Mikania	7722389			NE
2704446	Schizachyrium sanguineum (Retz.) Alston	2704446	Schizachyrium sanguineum (Retz.) Alston	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Schizachyrium	2704427	Schizachyrium sanguineum	2704446	NE
7452658	Cordia sellowiana Cham.	7452658	Cordia sellowiana Cham.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Boraginales	7226464	Cordiaceae	4930453	Cordia	2900865	Cordia sellowiana	7452658	LC
7470059	Hyptis campestris Harley & J.F.B.Pastore	7470059	Hyptis campestris Harley & J.F.B.Pastore	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Hyptis	2926807	Hyptis campestris	7470059	NE
3187232	Psidium L.	3187232	Psidium L.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Psidium	3187232			NE
5601297	Pleroma stenocarpum (DC.) Triana	5601297	Pleroma stenocarpum (DC.) Triana	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Pleroma	7273178	Pleroma stenocarpum	5601297	NE
7284843	Erythroxylum suberosum A.St.-Hil.	7284843	Erythroxylum suberosum A.St.-Hil.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Erythroxylaceae	6686	Erythroxylum	2873937	Erythroxylum suberosum	7284843	LC
2952199	Andira humilis Mart. ex Benth.	2952199	Andira humilis Mart. ex Benth.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Andira	7858091	Andira humilis	2952199	LC
3866448	Miconia fallax DC.	3866448	Miconia fallax DC.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Miconia	3188558	Miconia fallax	3866448	NE
