"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Onagraceae","Fuchsia",,"L.","ONAGRACEAE Fuchsia L.","288338","GBIF","SP","Pastore, J.A.","631",,"Latão","Ouro",,"Parque Estadual do Jurupará"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Orchidaceae","Epidendrum","secundum","Jacq.","ORCHIDACEAE Epidendrum secundum Jacq.","288512","GBIF","SP","Aguiar, O.T.","579","Native","Bronze","Ouro",,"Parque Estadual de Jurupará, Região da Água de Carapuça, na margem do caminho"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Orchidaceae","Habenaria","repens","Nutt.","ORCHIDACEAE Habenaria repens Nutt.","SPSF00019244","Splink","SPSF",,"636","Native","Bronze","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Orchidaceae","Polystachya",,"Hook.","ORCHIDACEAE Polystachya Hook.","288565","GBIF","SP","Baitello, J.B.","793",,"Latão","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Orchidaceae","Rodriguezia","obtusifolia","(Lindl.) Rchb.f.","ORCHIDACEAE Rodriguezia obtusifolia (Lindl.) Rchb.f.","35127","GBIF","SPSF","Arzolla, F.A.R.D.P.","905","Native","Bronze","Ouro",,"Parque Estadual de Jurupará"
"PARQUE ESTADUAL JURUPARÁ",,"Orchidaceae|Melastomataceae","Corymborkis|Rhynchanthera",,"Thouars|DC.","ORCHIDACEAE|MELASTOMATACEAE Corymborkis Thouars|Rhynchanthera DC.","SPSF00019309","Splink","SPSF",,"587",,"Latão","Ouro",,"Parque Estadual de Jurupará, ribeirão do Mico, na margem da estrada."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Picramniaceae","Picramnia","ramiflora","Planch.","PICRAMNIACEAE Picramnia ramiflora Planch.",,"GBIF",,,,"Native","Latão","Bronze",,
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Piperaceae","Peperomia","rubricaulis","(Nees) A.Dietr.","PIPERACEAE Peperomia rubricaulis (Nees) A.Dietr.","SPSF00019255","Splink","SPSF",,"634","Native","Bronze","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Piperaceae","Piper","hispidum","Sw.","PIPERACEAE Piper hispidum Sw.","RB00300923","GBIF","RB","Pastore, J.A.","609","Native","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/30/9/23/00300923.jpg","Parque Estadual de Jurupará, estrada da Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Piperaceae","Piper","sebastianum","Yunck.","PIPERACEAE Piper sebastianum Yunck.","288906","GBIF","SP","Aguiar, O.T.","582","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Região do Ribeirão do Mico, na margem da estrada."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Piperaceae","Piper","setebarraense","E.F.Guim. & L.H.P.Costa","PIPERACEAE Piper setebarraense E.F.Guim. & L.H.P.Costa","SPSF00044199","Splink","SPSF",,"862","Native","Latão","Ouro",,"Parque Estadual de Jurupará, Base roda D´Água."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Piperaceae","Piper","solmsianum","C.DC.","PIPERACEAE Piper solmsianum C.DC.","SPSF00044198","Splink","SPSF",,"861","Native","Latão","Ouro",,"Parque Estadual de Jurupará, Base Fumaça."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Piperaceae","Piper","umbellatum","L.","PIPERACEAE Piper umbellatum L.","161756","GBIF","MBM","Pastore, J.A.","469","Native","Prata","Ouro","https://images.cria.org.br/viewer/MBM161756 | https://images.cria.org.br/viewer/MBM161756_1","Parque Estadual de Jurupará."
