"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cucurbitaceae","Psiguria","ternata","(M.Roem.) C.Jeffrey","CUCURBITACEAE Psiguria ternata (M.Roem.) C.Jeffrey","SPF00211786","Splink","SPF","Ceccantini, G.C.T.","3650","Native","Ouro","High","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Cyatheaceae","Cyathea","atrovirens","(Langsd. & Fisch.) Domin","CYATHEACEAE Cyathea atrovirens (Langsd. & Fisch.) Domin","CESJ030095","Splink","CESJ","Fernandes, I.","1344","Native","Ouro","High","Parque estadual Morro do Diabo, ao longo da trilha para o caudeirão.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Cyatheaceae","Cyathea","delgadii","Pohl. ex Sternb.","CYATHEACEAE Cyathea delgadii Pohl. ex Sternb.","MO0100914422","Splink","MO","Silva, M.R.","1620","Native","Bronze","High","Munic. Teodoro Sampáio. Região do Pontal do Paranapanema, PARQUE ESTADUAL MORRO DO DIABO, CA. 17 km da Cidade, Rodovia SP 613/Teodoro Sampaio Rosana, ca 5 km da Rodovia pela trilha, Córrego Caldeirão.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Cyatheaceae","Cyathea","pungens","(Willd.) Domin","CYATHEACEAE Cyathea pungens (Willd.) Domin","PACA085070","Splink","PACA","Fernandes, I.","1346","Native","Ouro","High","Parque Estadual Morro do Diabo - no Caldeirao0","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cyperaceae","Cyperus","compressus","L.","CYPERACEAE Cyperus compressus L.","79709","GBIF","UEC","Almeida, F.S.","34","Native","Ouro","High","Parque Estadual Morro do Diabo, Trilha do Morro do Diabo.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cyperaceae","Cyperus","laxus","Lam.","CYPERACEAE Cyperus laxus Lam.","279498","Splink","SP","Aguiar, O.T.","494","Native","Bronze","High","Parque Estadual Morro do Diabo, estrada do estreito","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cyperaceae","Eleocharis","filiculmis","Kunth","CYPERACEAE Eleocharis filiculmis Kunth","UEC025762","Splink","UEC","Faria, A.D.","97726","Native","Ouro","High","Reserva do Morro do Diabo, Margens do rio Paranapiacaba.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Cyperaceae","Scleria",,"P.J.Bergius","CYPERACEAE Scleria P.J.Bergius",,"Splink","US","Acevedo-Rodriguez, P.","16857",,"Latão","High","Municipio Teodoro Sampaio; Parque Estadual Morro do Diabo. Trail west of entrance to Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Dennstaedtiaceae","Dennstaedtia","cicutaria","(Sw.) T.Moore","DENNSTAEDTIACEAE Dennstaedtia cicutaria (Sw.) T.Moore","3315314","Splink","MO","Silva, M.R.P.","1566","Native","Bronze","High","Região do Pontal do Paranapanema, Parque Estadual Morro Do Diabo, ca. 30 km da Sede pela trilha, Córrego 7 de Setembro ou Rio da Onça ou Angelim. Mata Latifoliada Mesófila Tropical Seca semidecídua.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Dennstaedtiaceae","Pteridium","aquilinum","(L.) Kuhn","DENNSTAEDTIACEAE Pteridium aquilinum (L.) Kuhn","11070","Splink","SJRP","Pietrobom-Silva, M.R.","1608","Unknown","Bronze","High","morro do diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Didymochlaenaceae","Didymochlaena","pulcherrima","(Raddi) Herter","DIDYMOCHLAENACEAE Didymochlaena pulcherrima (Raddi) Herter","3314433","GBIF","Tropicos","Silva, M.R.","1579","Native","Latão","High","Mun. Teodoro Sampaio, so Pontal do Paranapanema. Parque Estadual Morro Do Diabo, ca. 30 km da Sede pela trilha, Córrego 7 de Setembro ou Rio da Onca ou Angelim. Mata Latifoliada Mesófila Tropical Seca semidecídua.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Dilleniaceae","Doliocarpus","dentatus","(Aubl.) Standl.","DILLENIACEAE Doliocarpus dentatus (Aubl.) Standl.","279599","Splink","SP","Pastore, J.A.","497","Native","Bronze","High","Parque Estadual Morro do Diabo, Estrada do 7000","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Dilleniaceae","Tetracera","oblongata","DC.","DILLENIACEAE Tetracera oblongata DC.","SPFR013823","Splink","SPFR","Baitello, J.B.","729","Native","Bronze","High","Parque Estadual do Morro do Diabo, estrada do 7000, na margem do caminho","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Dioscoreaceae","Dioscorea","glandulosa","(Klotzsch ex Griseb.) Kunth","DIOSCOREACEAE Dioscorea glandulosa (Klotzsch ex Griseb.) Kunth","151458","Splink","SP","Silva, J.S.","439","Native","Bronze","High","Morro do Diabo, 25 km W de Teodoro Sampaio","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Dryopteridaceae","Ctenitis","submarginalis","(Langsd. & Fisch.) Ching","DRYOPTERIDACEAE Ctenitis submarginalis (Langsd. & Fisch.) Ching","11955","Splink","HBRA","Soares-Silva, L.H.","14507FUEL","Native","Ouro","High","Parque Estadual Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Dryopteridaceae","Cyclodium","meniscioides","(Willd.) C.Presl","DRYOPTERIDACEAE Cyclodium meniscioides (Willd.) C.Presl","05034","Splink","SJRP","Windisch, P.G.","4721","Native","Bronze","High","morro do diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Dryopteridaceae","Parapolystichum","effusum","(Sw.) Ching","DRYOPTERIDACEAE Parapolystichum effusum (Sw.) Ching","SJRP00015490","Splink","SJRP","Pietrobom-Silva, M.R.","1671","Native","Bronze","High","Região do pontal do Paranapanema, Parque Estadual Morro do Diabo, trilha do lago Verde, proximidade da sede","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Dryopteridaceae","Polybotrya","goyazensis","Brade","DRYOPTERIDACEAE Polybotrya goyazensis Brade","11165","Splink","SJRP","Windisch, P.G.","4725","Native","Bronze","High","morro do diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Dryopteridaceae","Polystichum","platyphyllum","(Willd.) C.Presl","DRYOPTERIDACEAE Polystichum platyphyllum (Willd.) C.Presl","SPSF00018830","Splink","SPSF","Silva, M.R.","1582","Native","Bronze","High","Parque Estadual do Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Elaeocarpaceae","Sloanea","guianensis","(Aubl.) Benth.","ELAEOCARPACEAE Sloanea guianensis (Aubl.) Benth.","59692","GBIF","UEC","Aguiar, O.T.","162","Native","Bronze","High","Parque Estadual do Morro do Diabo.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Ferns and Lycophytes","Equisetaceae","Equisetum","giganteum","L.","EQUISETACEAE Equisetum giganteum L.","11069","Splink","SJRP","Pietrobom-Silva, M.R.","1607","Native","Bronze","High","morro do diabo","Não"
