"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Acanthaceae","Thunbergia","fragrans","Roxb.","ACANTHACEAE Thunbergia fragrans Roxb.","24259","Splink","SP",,"s.n.","Naturalized","Bronze","Low",,
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE",,"Acanthaceae|Rubiaceae","Justicia|Gonzalagunia",,"L.|Ruiz & Pav.","ACANTHACEAE|RUBIACEAE Justicia L.|Gonzalagunia Ruiz & Pav.","268732","Splink","SP",,"429",,"Latão","High",,"Estação Ecológica Juréia-Itatins, trilha da Figueira Grande"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Adoxaceae","Sambucus",,"L.","ADOXACEAE Sambucus L.","309102","GBIF","SP","Favero, O.A.","264",,"Latão","High",,"Estação Ecológica Juréia-Itatins, Rio Comprido, no quintal do Sr. Apolinário"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Aizoaceae","Sesuvium","portulacastrum","(L.) L.","AIZOACEAE Sesuvium portulacastrum (L.) L.",,"GBIF",,,,"Naturalized","Latão","Low",,
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Alismataceae","Echinodorus","grandiflorus","(Cham. & Schltr.) Micheli","ALISMATACEAE Echinodorus grandiflorus (Cham. & Schltr.) Micheli","309081","GBIF","SP","Favero, O.A.","226","Native","Prata","High",,"Estação Ecológica Juréia-Itatins, Rio Comprido"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Alismataceae","Sagittaria","montevidensis","Cham. & Schltdl.","ALISMATACEAE Sagittaria montevidensis Cham. & Schltdl.","309080","GBIF","SP","Favero, O.A.","280","Native","Prata","High",,"Estação Ecológica Juréia-Itatins, Rio da Cachoeira do Guilherme"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Alstroemeriaceae","Alstroemeria","inodora","Herb.","ALSTROEMERIACEAE Alstroemeria inodora Herb.","177614","GBIF","UEC","Leitao Filho, H.F.","33282","Native","Latão","Low","https://images.cria.org.br/viewer/UEC100270","Estrada Sete Barras para São Miguel Arcanjo."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Alstroemeriaceae","Bomarea","edulis","(Tussac) Herb.","ALSTROEMERIACEAE Bomarea edulis (Tussac) Herb.","261954","GBIF","SP","Aragaki, S.","26","Native","Bronze","High",,"Estação Ecológica Juréia-Itatins, Caminho do Imperador em direção a praia do Rio Verde, próximo a 1° cachoeira"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaranthaceae","Alternanthera","brasiliana","(L.) Kuntze","AMARANTHACEAE Alternanthera brasiliana (L.) Kuntze",,"GBIF",,,,"Native","Latão","Low",,
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaranthaceae","Alternanthera","littoralis","P.Beauv.","AMARANTHACEAE Alternanthera littoralis P.Beauv.",,"GBIF",,,,"Native","Latão","Low",,
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaranthaceae","Alternanthera","philoxeroides","(Mart.) Griseb.","AMARANTHACEAE Alternanthera philoxeroides (Mart.) Griseb.","42151","GBIF","UPCB","Borgo, M.","596","Native","Ouro","Low","https://images.cria.org.br/viewer/UPCB0079140","Afluente do Rio Ribeira de Iguape, Rocio."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaranthaceae","Alternanthera","tenella","Colla","AMARANTHACEAE Alternanthera tenella Colla","42147","GBIF","UPCB","Borgo, M.","606","Native","Ouro","Low","https://images.cria.org.br/viewer/UPCB0079079","Rio Ribeira de Iguape."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaranthaceae","Amaranthus","deflexus","L.","AMARANTHACEAE Amaranthus deflexus L.","309078","GBIF","SP","Favero, O.A.","236","Naturalized","Prata","High",,"Estação Ecológica Juréia-Itatins, Sírio Ribeirão Branco, quintal de Dona Rosélia"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaranthaceae","Blutaparon","portulacoides","(A.St.-Hil.) Mears","AMARANTHACEAE Blutaparon portulacoides (A.St.-Hil.) Mears","262822","GBIF","SP","Anunciacao, E.A.","336","Native","Bronze","Medium",,"Estação Ecológica Juréia-Itatins, Serra da Juréia , praia da Juréia, próximo ao posto de fiscalização"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaranthaceae","Celosia","grandifolia","Moq.","AMARANTHACEAE Celosia grandifolia Moq.","272271","GBIF","SP","Rossi, L.","1404","Native","Prata","Low",,"Estação Ecológica Juréia-Itatins, Serra dos Itatins, picada entre o alojamento do Núcleo Despraiado e o alto da Serra, mata de encosta bem preservada"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaranthaceae","Chamissoa","altissima","(Jacq.) Kunth","AMARANTHACEAE Chamissoa altissima (Jacq.) Kunth","PACA116006","Splink","PACA",,"661","Native","Ouro","Low",,"Sítio da Lagoa Grande. Margem do Rio Ribeira de Iguape. Arbusto de ca. 1,5m alt., flores vermelhas."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaranthaceae","Cyathula","prostrata","Blume","AMARANTHACEAE Cyathula prostrata Blume","36515","GBIF","SPSF","Meireles, J.E.","333","Native","Ouro","Low",,"Parque Estadual de Jacupiranga - Núcleo Cedro"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaranthaceae","Dysphania","ambrosioides","(L.) Mosyakin & Clemants","AMARANTHACEAE Dysphania ambrosioides (L.) Mosyakin & Clemants","309094","GBIF","SP","Favero, O.A.","169","Naturalized","Prata","High",,"Estação Ecológica Juréia-Itatins, Cachoeira do Guilherme no quintal de Dona Jovelina"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaryllidaceae","Crinum","americanum","L.","AMARYLLIDACEAE Crinum americanum L.","309079","GBIF","SP","Favero, O.A.","196","Native","Bronze","High",,"Estação Ecológica Juréia-Itatins, Rio Comprido"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaryllidaceae","Hippeastrum","aulicum","(Ker Gawl.) Herb.","AMARYLLIDACEAE Hippeastrum aulicum (Ker Gawl.) Herb.","249127","GBIF","SP","Rossi, L.","890","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Caminho do Imperador"
