"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Ageratum","conyzoides","L.","ASTERACEAE Ageratum conyzoides L.","210563290","GBIF","Observations","Almeida, A.C.",,"Native","Bronze","Bronze",,"Gleba do Pêssego, São Paulo - SP, Brasil"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Baccharis","brevifolia","DC.","ASTERACEAE Baccharis brevifolia DC.","HUFABC002541","Splink","HUFABC",,"349","Native","Ouro","Ouro",,"Parque Natural Municipal Fazenda do Carmo"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Baccharis","crispa","Spreng.","ASTERACEAE Baccharis crispa Spreng.","PMSP001705","GBIF","PMSP","Garcia, R.J.F.","508","Unknown","Bronze","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/0/17/5/pmsp00001705.dzi","Parque Ecológico APA do Carmo, Trilha 8."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Baccharis","dracunculifolia","DC.","ASTERACEAE Baccharis dracunculifolia DC.",,"GBIF",,,,"Native","Latão","Bronze",,
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Baccharis","erioclada","DC.","ASTERACEAE Baccharis erioclada DC.","85405","GBIF","UEC","Garcia, R.J.F.","497","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC102600","Parque Ecológico da APA do Carmo. Trilha 1, próximo à bifurcação com a trilha 8"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Baccharis","lateralis","Baker","ASTERACEAE Baccharis lateralis Baker","PMSP001687","GBIF","PMSP","Garcia, R.J.F.","490","Native","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/0/16/87/pmsp00001687.dzi","Parque Ecológico APA do Carmo"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Baccharis","sphenophylla","Dusén ex Malme","ASTERACEAE Baccharis sphenophylla Dusén ex Malme","264306","GBIF","HUEFS","Barreto, E.H.P.","1261","Native","Ouro","Ouro","https://images.cria.org.br/viewer/HUEFS0264306","Parque Natural Municipal da Fazenda do Carmo."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Campuloclinium","purpurascens","(Sch.Bip. ex Baker) R.M.King & H.Rob.","ASTERACEAE Campuloclinium purpurascens (Sch.Bip. ex Baker) R.M.King & H.Rob.","85403","GBIF","UEC","Garcia, R.J.F.","504","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC123777","Parque Ecológico APA do Carmo"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Chaptalia","integerrima","(Vell.) Burkart","ASTERACEAE Chaptalia integerrima (Vell.) Burkart","HUFABC002417","Splink","HUFABC",,"1255","Native","Ouro","Ouro",,"Parque Natural Municipal Fazenda do Carmo, campo."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Chaptalia","nutans","(L.) Pol.","ASTERACEAE Chaptalia nutans (L.) Pol.","210562601","GBIF","Observations","Almeida, A.C.",,"Native","Bronze","Bronze",,"Gleba do Pêssego, São Paulo - SP, Brasil"
