"country","stateProvince","municipality","locality","latitude","longitude","loc.ideal","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","São Paulo","Cajati","PARQUE ESTADUAL CAVERNA DO DIABO","-24.7420035449172","-48.2736312236456","brazil_sao paulo_cajati_parque estadual caverna diabo","brazil","sao paulo","cajati","parque estadual caverna do diabo",NA,"locality","brazil_sao paulo_cajati","brazil_sao paulo_cajati",-24.77180482,-48.19476358,"county"
"Brazil","São Paulo","Eldorado","PARQUE ESTADUAL CAVERNA DO DIABO","-24.7061933964215","-48.3400644593983","brazil_sao paulo_eldorado_parque estadual caverna diabo","brazil","sao paulo","eldorado","parque estadual caverna do diabo",NA,"locality","brazil_sao paulo_eldorado","brazil_sao paulo_eldorado",-24.49490556,-48.23324935,"county"
"Brazil","São Paulo","Iporanga","PARQUE ESTADUAL CAVERNA DO DIABO","-24.621904223021","-48.537778752955","brazil_sao paulo_iporanga_parque estadual caverna diabo","brazil","sao paulo","iporanga","parque estadual caverna do diabo",NA,"locality","brazil_sao paulo_iporanga","brazil_sao paulo_iporanga",-24.51231726,-48.54624865,"county"
"Brazil","São Paulo","Castilho","PARQUE ESTADUAL DO AGUAPEÍ","-21.1526841904717","-51.6426085312617","brazil_sao paulo_castilho_parque estadual aguapei","brazil","sao paulo","castilho","parque estadual do aguapei",NA,"locality","brazil_sao paulo_castilho","brazil_sao paulo_castilho",-20.89853638,-51.57009906,"county"
"Brazil","São Paulo","Guaraçaí","PARQUE ESTADUAL DO AGUAPEÍ","-21.2524417021811","-51.4023879786953","brazil_sao paulo_guaracai_parque estadual aguapei","brazil","sao paulo","guaracai","parque estadual do aguapei",NA,"locality","brazil_sao paulo_guaracai","brazil_sao paulo_guaracai",-21.08689973,-51.28003353,"county"
"Brazil","São Paulo","Junqueirópolis","PARQUE ESTADUAL DO AGUAPEÍ","-21.2583731997829","-51.4343886128592","brazil_sao paulo_junqueiropolis_parque estadual aguapei","brazil","sao paulo","junqueiropolis","parque estadual do aguapei",NA,"locality","brazil_sao paulo_junqueiropolis","brazil_sao paulo_junqueiropolis",-21.44942083,-51.43504424,"county"
"Brazil","São Paulo","Monte Castelo","PARQUE ESTADUAL DO AGUAPEÍ","-21.1857865993274","-51.5685704038152","brazil_sao paulo_monte castelo_parque estadual aguapei","brazil","sao paulo","monte castelo","parque estadual do aguapei",NA,"locality","brazil_sao paulo_monte castelo","brazil_sao paulo_monte castelo",-21.25485352,-51.57150832,"county"
"Brazil","São Paulo","Nova Independência","PARQUE ESTADUAL DO AGUAPEÍ","-21.1791977849047","-51.5629663750245","brazil_sao paulo_nova independencia_parque estadual aguapei","brazil","sao paulo","nova independencia","parque estadual do aguapei",NA,"locality","brazil_sao paulo_nova independencia","brazil_sao paulo_nova independencia",-21.13528339,-51.50516051,"county"
"Brazil","São Paulo","São João do Pau D'alho","PARQUE ESTADUAL DO AGUAPEÍ","-21.1643622578355","-51.6379064169125","brazil_sao paulo_sao joao pau alho_parque estadual aguapei","brazil","sao paulo","sao joao do pau d'alho","parque estadual do aguapei",NA,"locality","brazil_sao paulo_sao joao pau alho","brazil_sao paulo_sao joao pau alho",-21.22332857,-51.67314748,"county"
"Brazil","São Paulo","Campos do Jordão","PARQUE ESTADUAL DE CAMPOS DO JORDÃO","-22.6733482487783","-45.4583722738834","brazil_sao paulo_campos jordao_parque estadual campos jordao","brazil","sao paulo","campos do jordao","parque estadual de campos do jordao",NA,"locality","brazil_sao paulo_campos jordao_parque estadual campos jordao","brazil_sao paulo_campos jordao_pe campos jordao",-22.691958,-45.46331,"locality"
"Brazil","São Paulo","Guaratinguetá","PARQUE ESTADUAL DE CAMPOS DO JORDÃO","-22.6774451923021","-45.4154337545299","brazil_sao paulo_guaratingueta_parque estadual campos jordao","brazil","sao paulo","guaratingueta","parque estadual de campos do jordao",NA,"locality","brazil_sao paulo_guaratingueta","brazil_sao paulo_guaratingueta",-22.786383,-45.206179,"county"
"Brazil","São Paulo","Pindamonhangaba","PARQUE ESTADUAL DE CAMPOS DO JORDÃO","-22.7258924275458","-45.4768795274374","brazil_sao paulo_pindamonhangaba_parque estadual campos jordao","brazil","sao paulo","pindamonhangaba","parque estadual de campos do jordao",NA,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county"
