"","country","stateProvince","municipality","locality","loc","loc.correct","latitude","longitude","resolution.gazetteer","source"
"398","Brazil","São Paulo","Angatuba","APA CUESTA GUARANI","brazil_sao paulo_angatuba_apa cuesta guarani","brazil_sao paulo_angatuba_apa cuesta guarani",-23.2771458946313,-48.4278593074955,"locality","cnuc_ibge"
"1135","Brazil","São Paulo","Angatuba","APA CUESTA GUARANI","brazil_sao paulo_angatuba_area protecao ambiental cuesta guarani","brazil_sao paulo_angatuba_apa cuesta guarani",-23.2771458946313,-48.4278593074955,"locality","cnuc_ibge"
"147","Brazil","São Paulo","Angatuba","EEC DE ANGATUBA","brazil_sao paulo_angatuba_eec angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba",-23.4145644531594,-48.3610591580048,"locality","cnuc_ibge"
"884","Brazil","São Paulo","Angatuba","EEC DE ANGATUBA","brazil_sao paulo_angatuba_estacao ecologica angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba",-23.4145644531594,-48.3610591580048,"locality","cnuc_ibge"
"399","Brazil","São Paulo","Anhembi","APA CUESTA GUARANI","brazil_sao paulo_anhembi_apa cuesta guarani","brazil_sao paulo_anhembi_apa cuesta guarani",-22.9483036252632,-48.2934923049597,"locality","cnuc_ibge"
"1136","Brazil","São Paulo","Anhembi","APA CUESTA GUARANI","brazil_sao paulo_anhembi_area protecao ambiental cuesta guarani","brazil_sao paulo_anhembi_apa cuesta guarani",-22.9483036252632,-48.2934923049597,"locality","cnuc_ibge"
"729","Brazil","São Paulo","Anhembi","APA TANQUÃ-RIO PIRACICABA","brazil_sao paulo_anhembi_apa tanqua rio piracicaba","brazil_sao paulo_anhembi_apa tanqua rio piracicaba",-22.6296396420838,-48.1614183846845,"locality","cnuc_ibge"
"1466","Brazil","São Paulo","Anhembi","APA TANQUÃ-RIO PIRACICABA","brazil_sao paulo_anhembi_area protecao ambiental tanqua rio piracicaba","brazil_sao paulo_anhembi_apa tanqua rio piracicaba",-22.6296396420838,-48.1614183846845,"locality","cnuc_ibge"
"599","Brazil","São Paulo","Anhembi","AREA DE PROTEÇÃO AMBIENTAL BARREIRO RICO","brazil_sao paulo_anhembi_area protecao ambiental barreiro rico","brazil_sao paulo_anhembi_area protecao ambiental barreiro rico",-22.6699500585826,-48.1617584413481,"locality","cnuc_ibge"
"1336","Brazil","São Paulo","Anhembi","AREA DE PROTEÇÃO AMBIENTAL BARREIRO RICO","brazil_sao paulo_anhembi_area protecao ambiental barreiro rico","brazil_sao paulo_anhembi_area protecao ambiental barreiro rico",-22.6699500585826,-48.1617584413481,"locality","cnuc_ibge"
"36","Brazil","São Paulo","Anhembi","EEC DO BARREIRO RICO","brazil_sao paulo_anhembi_eec barreiro rico","brazil_sao paulo_anhembi_eec barreiro rico",-22.6770660015867,-48.1489660856912,"locality","cnuc_ibge"
"773","Brazil","São Paulo","Anhembi","EEC DO BARREIRO RICO","brazil_sao paulo_anhembi_estacao ecologica barreiro rico","brazil_sao paulo_anhembi_eec barreiro rico",-22.6770660015867,-48.1489660856912,"locality","cnuc_ibge"
"502","Brazil","São Paulo","Apiaí","APA QUILOMBOS DO MÉDIO RIBEIRA","brazil_sao paulo_apiai_apa quilombos medio ribeira","brazil_sao paulo_apiai_apa quilombos medio ribeira",-24.4139262913212,-48.5210240528155,"locality","cnuc_ibge"
"1239","Brazil","São Paulo","Apiaí","APA QUILOMBOS DO MÉDIO RIBEIRA","brazil_sao paulo_apiai_area protecao ambiental quilombos medio ribeira","brazil_sao paulo_apiai_apa quilombos medio ribeira",-24.4139262913212,-48.5210240528155,"locality","cnuc_ibge"
"530","Brazil","São Paulo","Apiaí","APA SERRA DO MAR","brazil_sao paulo_apiai_apa serra mar","brazil_sao paulo_apiai_apa serra mar",-24.3853044639694,-48.5051429853903,"locality","cnuc_ibge"
"1267","Brazil","São Paulo","Apiaí","APA SERRA DO MAR","brazil_sao paulo_apiai_area protecao ambiental serra mar","brazil_sao paulo_apiai_apa serra mar",-24.3853044639694,-48.5051429853903,"locality","cnuc_ibge"
"67","Brazil","São Paulo","Apiaí","PE INTERVALES","brazil_sao paulo_apiai_pe intervales","brazil_sao paulo_apiai_pe intervales",-24.3845534621405,-48.5058610950737,"locality","cnuc_ibge"
"804","Brazil","São Paulo","Apiaí","PE INTERVALES","brazil_sao paulo_apiai_parque estadual intervales","brazil_sao paulo_apiai_pe intervales",-24.3845534621405,-48.5058610950737,"locality","cnuc_ibge"
"80","Brazil","São Paulo","Apiaí","PE TURÍSTICO DO ALTO DO RIBEIRA","brazil_sao paulo_apiai_pe turistico alto ribeira","brazil_sao paulo_apiai_pe turistico alto ribeira",-24.4047585164376,-48.572882243237,"locality","cnuc_ibge"
"817","Brazil","São Paulo","Apiaí","PE TURÍSTICO DO ALTO DO RIBEIRA","brazil_sao paulo_apiai_parque estadual turistico alto ribeira","brazil_sao paulo_apiai_pe turistico alto ribeira",-24.4047585164376,-48.572882243237,"locality","cnuc_ibge"
"151","Brazil","São Paulo","Apiaí","PNM MORRO DO OURO","brazil_sao paulo_apiai_pnm morro ouro","brazil_sao paulo_apiai_pnm morro ouro",-24.5175728361318,-48.8267988612473,"locality","cnuc_ibge"
"888","Brazil","São Paulo","Apiaí","PNM MORRO DO OURO","brazil_sao paulo_apiai_parque natural municipal morro ouro","brazil_sao paulo_apiai_pnm morro ouro",-24.5175728361318,-48.8267988612473,"locality","cnuc_ibge"
"365","Brazil","São Paulo","Araçariguama","APA CABREUVA","brazil_sao paulo_aracariguama_apa cabreuva","brazil_sao paulo_aracariguama_apa cabreuva",-23.3811871708938,-47.0952338723519,"locality","cnuc_ibge"
"1102","Brazil","São Paulo","Araçariguama","APA CABREUVA","brazil_sao paulo_aracariguama_area protecao ambiental cabreuva","brazil_sao paulo_aracariguama_apa cabreuva",-23.3811871708938,-47.0952338723519,"locality","cnuc_ibge"
"253","Brazil","São Paulo","Araçariguama","RPPN SÍTIO PITHON","brazil_sao paulo_aracariguama_rppn sitio pithon","brazil_sao paulo_aracariguama_rppn sitio pithon",-23.433680533637,-47.0754167703337,"locality","cnuc_ibge"
"990","Brazil","São Paulo","Araçariguama","RPPN SÍTIO PITHON","brazil_sao paulo_aracariguama_reserva particular patrimonio natural sitio pithon","brazil_sao paulo_aracariguama_rppn sitio pithon",-23.433680533637,-47.0754167703337,"locality","cnuc_ibge"
"705","Brazil","São Paulo","Araçoiaba da Serra","FLONA DE IPANEMA","brazil_sao paulo_aracoiaba serra_flona ipanema","brazil_sao paulo_aracoiaba serra_flona ipanema",-23.4571642364513,-47.6360232468991,"locality","cnuc_ibge"
"1442","Brazil","São Paulo","Araçoiaba da Serra","FLONA DE IPANEMA","brazil_sao paulo_aracoiaba serra_floresta nacional ipanema","brazil_sao paulo_aracoiaba serra_flona ipanema",-23.4571642364513,-47.6360232468991,"locality","cnuc_ibge"
"264","Brazil","São Paulo","Araçoiaba da Serra","RPPN CENTRO DE VIVÊNCIA COM A NATUREZA - CVN","brazil_sao paulo_aracoiaba serra_rppn centro vivencia com a natureza","brazil_sao paulo_aracoiaba serra_rppn centro vivencia com a natureza",-23.5332210199859,-47.6504618421417,"locality","cnuc_ibge"
"1001","Brazil","São Paulo","Araçoiaba da Serra","RPPN CENTRO DE VIVÊNCIA COM A NATUREZA - CVN","brazil_sao paulo_aracoiaba serra_reserva particular patrimonio natural centro vivencia com a natureza","brazil_sao paulo_aracoiaba serra_rppn centro vivencia com a natureza",-23.5332210199859,-47.6504618421417,"locality","cnuc_ibge"
"266","Brazil","São Paulo","Araçoiaba da Serra","RPPN FLORESTA NEGRA, PARQUE NATURAL PARA ESTUDOS, PESQUISA E EDUCAÇÃO AMBIENTAL","brazil_sao paulo_aracoiaba serra_rppn floresta negra, parque natural para estudos","brazil_sao paulo_aracoiaba serra_rppn floresta negra, parque natural para estudos",-23.541789087651,-47.6743999120101,"locality","cnuc_ibge"
"1003","Brazil","São Paulo","Araçoiaba da Serra","RPPN FLORESTA NEGRA, PARQUE NATURAL PARA ESTUDOS, PESQUISA E EDUCAÇÃO AMBIENTAL","brazil_sao paulo_aracoiaba serra_reserva particular patrimonio natural floresta negra, parque natural para estudos","brazil_sao paulo_aracoiaba serra_rppn floresta negra, parque natural para estudos",-23.541789087651,-47.6743999120101,"locality","cnuc_ibge"
"1","Brazil","São Paulo","Arapeí","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_arapei_apa bacia paraiba sul","brazil_sao paulo_arapei_apa bacia paraiba sul",-22.7303442465835,-44.4156922037597,"locality","cnuc_ibge"
"738","Brazil","São Paulo","Arapeí","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_arapei_area protecao ambiental bacia paraiba sul","brazil_sao paulo_arapei_apa bacia paraiba sul",-22.7303442465835,-44.4156922037597,"locality","cnuc_ibge"
"186","Brazil","São Paulo","Araraquara","PNM DO BASALTO","brazil_sao paulo_araraquara_pnm basalto","brazil_sao paulo_araraquara_pnm basalto",-21.7716994458808,-48.1308156612882,"locality","cnuc_ibge"
"923","Brazil","São Paulo","Araraquara","PNM DO BASALTO","brazil_sao paulo_araraquara_parque natural municipal basalto","brazil_sao paulo_araraquara_pnm basalto",-21.7716994458808,-48.1308156612882,"locality","cnuc_ibge"
"467","Brazil","São Paulo","Araras","APA PIRACICABA JUQUERI MIRIM ÁREA I","brazil_sao paulo_araras_apa piracicaba juqueri mirim area i","brazil_sao paulo_araras_apa piracicaba juqueri mirim area i",-22.3263418332606,-47.46641926331,"locality","cnuc_ibge"
"1204","Brazil","São Paulo","Araras","APA PIRACICABA JUQUERI MIRIM ÁREA I","brazil_sao paulo_araras_area protecao ambiental piracicaba juqueri mirim area i","brazil_sao paulo_araras_apa piracicaba juqueri mirim area i",-22.3263418332606,-47.46641926331,"locality","cnuc_ibge"
"325","Brazil","São Paulo","Araras","EEC DE MOGI-GUAÇU","brazil_sao paulo_araras_eec mogi guacu","brazil_sao paulo_araras_eec mogi guacu",-22.2788352607137,-47.1896679435622,"locality","cnuc_ibge"
"1062","Brazil","São Paulo","Araras","EEC DE MOGI-GUAÇU","brazil_sao paulo_araras_estacao ecologica mogi guacu","brazil_sao paulo_araras_eec mogi guacu",-22.2788352607137,-47.1896679435622,"locality","cnuc_ibge"
"508","Brazil","São Paulo","Arealva","APA RIO BATALHA","brazil_sao paulo_arealva_apa rio batalha","brazil_sao paulo_arealva_apa rio batalha",-22.1251079570123,-49.0856924414237,"locality","cnuc_ibge"
"1245","Brazil","São Paulo","Arealva","APA RIO BATALHA","brazil_sao paulo_arealva_area protecao ambiental rio batalha","brazil_sao paulo_arealva_apa rio batalha",-22.1251079570123,-49.0856924414237,"locality","cnuc_ibge"
"2","Brazil","São Paulo","Areias","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_areias_apa bacia paraiba sul","brazil_sao paulo_areias_apa bacia paraiba sul",-22.6186543024041,-44.7284892874307,"locality","cnuc_ibge"
