"Código de barras","Num. Tombo","Coleção","Família","Gênero","Táxon","Coletor","Num. Coleta","Data Coleta","Categoria Tipus","Determinador","Data Determinação","Tipo Coleção","Pais","Estado/Provincia","Cidade","Localidade","Latitude","Longitude","Unidade Conservação","Origem","Status"
"NY00818706","NA","NY","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra pepe-parodii Wassh.","P. J. M. Maas;","P13275","23/5/1971",,"I. Azevedo","12/5/2020",,"Brazil",,,"Aldeota, Rio Juruá-Mirim.","-7,63111111111111118","-72,6700000000000017","Parque Nacional da Serra do Divisor","Nativa","NE"
"US02867541",,"US","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra phrynioides Lindau","T.C. Plowman",12946,"//",,,,,,,,,,,"Parque Estadual do Desengano","Nativa","NE"
"RB00035384","RB 377146","RB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","S. J. Silva Neto",1603,"12/12/2001",,"S. Profice","s. d.",,"Brasil",,"Nova Iguaçu","Represa do Macuco, trilha Cana do Reino.",,,"Reserva Biológica do Tinguá","Nativa","LC"
"RB01176373","RB 659648","RB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","P. Rosa",1022,"27/8/2016",,"T.S. Mendes & E.F. Guimarães",,,"Brasil",,"Campos dos Goytacazes","9º distrito de campos Morangaba. Localidade de Aleluia, morro do Pico da Aleluia, região norte da UC. Trilha para o Pico da Aleluia, riacho da Aleluia, lado direito em encosta úmida, próximo a afloramento rochosos.Área que recebe poucas visitas a lazer, não foram vistos sinais de lixo na trilha.","-21,7841666","-41,6172223","Parque Estadual do Desengano","Nativa","LC"
"RB00529654",,"RB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","C.N. Fraga",2051,"6/5/2008",,"C. Kameyama","s. d.",,"Brasil",,"Cariacica","São Paulo Viana, beira da estrada. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas","-20,3000000000000007","-40,5333333333333314","Reserva Biológica de Duas Bocas","Nativa","LC"
"VIES026325","VIES 26325","VIES","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra prismatica (Vell.) Hieron","Valadares, R.T.",995,"5/2/2011",,"R.T. Valadares","18/6/2018",,"Brasil",,"Serra","Mestre Álvaro.",,,"Área de Proteção Ambiental Mestre Álvaro","Nativa","LC"
"NY00627206",,"NY","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra schieferae Leonard","R. Saraiva;",1505,"14/4/1992",,"I. Azevedo","30/11/2020",,"Brazil",,,"Reserva Extrativista Chico Mendes, Seringal Porongaba, transecto 2.","-9,12000000000000099","-72,7000000000000028","Reserva Extrativista Chico Mendes","Nativa","NE"
"RB00418842",44223,"RB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra schottiana (Nees) Profice","Luiz Laustyak",907,"/7/1938",,"S. R. Profice",,,"Brasil",,,"Fazenda Valparaiso, Itatiaia. Reg. Est. Biol. Itatiaia.",,,"Parque Nacional do Itatiaia","Nativa","LC"
"RB01142648","RB 654517","RB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra schottiana (Nees) Profice","L.J.T. Cardoso",1439,"4/5/2015",,"I. H. F. Azevedo","25/7/2018",,"Brasil",,"Resende","Visconde de Mauá, área florestada atrás da sede do PEPS. Ponto 1 da Florística (WGS84). Parque Estadual da Pedra Selada","-22,3333333333333","-44,5369444444444","Parque Estadual da Pedra Selada","Nativa","LC"
"RB00474865",330767,"RB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra squarrosa Nees","J.M.A. Braga",1959,"14/2/1995",,,,,"Brasil",,"Itatiaia","Parque Nacional de Itatiaia. Lago Azul, proximo da estrada.","-22,25","-44,566666699999999","Parque Nacional do Itatiaia","Nativa","LC"
"RB01084884","RB 641588","RB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra squarrosa Nees","C. Baez",427,"26/1/2016",,"C. Baez",,,"Brasil",,"Santa Maria Madalena","Pedra do Desengano. Trilha para a Pedra do Desengano.",,,"Parque Estadual do Desengano","Nativa","LC"
"RB00035339","RB 241250","RB","ACANTHACEAE","Aphelandra","ACANTHACEAE Aphelandra variegata Morel","S.G. da Vinha",120,"22/3/1968",,"D. C. Wasshausen","12/1978",,"Brasil",,"Bahia","Parque Nacional de Monte Pascoal. Parque Nacional de Monte Pascoal",,,"Parque Nacional Histórico do Monte Pascoal","nativa","NE"
"RB00281166","RB 330446","RB","ACANTHACEAE","Asystasia","ACANTHACEAE Asystasia gangetica (L.) T.Anderson","V. S. Fonseca",181,"//",,,,,,,,,,,"Parque Estadual da Costa do Sol","Não Nativa","NE"
"RB00778808","RB 573164","RB","ACANTHACEAE","Barleria","ACANTHACEAE Barleria repens Nees","R.S. Fernandes",10,"//",,,,,,,,,,,"Parque Estadual da Costa do Sol","Não Nativa","NE"
"RB00452049","RB 326447","RB","ACANTHACEAE","Chamaeranthemum","ACANTHACEAE Chamaeranthemum beyrichii Nees","C.Farney",3590,"//",,,,,,,,,,,"Parque Estadual da Costa do Sol","Nativa","LC"
"RB00035508","RB 361737","RB","ACANTHACEAE","Chamaeranthemum","ACANTHACEAE Chamaeranthemum beyrichii Nees","L.S. Sylvestre",1563,"14/11/2001",,,"s. d.",,"Brasil",,"Miguel Pereira","Reserva Biológica do Tinguá. Trilha para o Rancho dos Bobos, Riacho Nova Estrela. Reserva Biológica do Tinguá","-22,5708333333333","-43,4688888888889","Reserva Biológica do Tinguá","Nativa","LC"
"RB00474886",330917,"RB","ACANTHACEAE","Clistax","ACANTHACEAE Clistax brasiliensis Mart.","J.M.A. Braga",3275,"13/3/1996",,,,,"Brasil",,"Itatiaia","Parque Nacional de Itatiaia. Proximidades do Abrigo I.","-22,25","-44,566666699999999","Parque Nacional do Itatiaia","Nativa","NE"
"RB00549219",,"RB","ACANTHACEAE","Dicliptera","ACANTHACEAE Dicliptera squarrosa Nees","C.N. Fraga;P.L. Viana,A.P. Fontana, R. Goldenberg, P.H. Labiak, L. Kollmann, M.M. Saaverda",2103,"17/7/2008",,"Sheila Regina Profice","4/10/2011",,"Brasil",,"Castelo","Trilha para as piscinas. Parque Estadual do Forno Grande","-20,5194444444444422","-41,0875000000000057","Parque Estadual do Forno Grande","Nativa","LC"
"RB00712102","RB 547732","RB","ACANTHACEAE","Dicliptera","ACANTHACEAE Dicliptera squarrosa Nees","J.M.A. Braga",5147,"//",,,,,,,,,,,"Parque Estadual da Costa do Sol","Nativa","LC"
"SPSF00056964",,"SPSF","ACANTHACEAE","Dyschoriste","ACANTHACEAE Dyschoriste serpyllum (Nees) Kuntze","N.A.L.Pilon; G.Durigan","738B","//",,,,,,,,,,,"Estação Ecológica de Santa Bárbara","Nativa","NE"
"SAMES09948","SAMES 9948","SAMES","ACANTHACEAE","Herpetacanthus","ACANTHACEAE Herpetacanthus Nees","M.Ribeiro",1141,"11/11/2014",,"Indriunas, A.; Aoyama, E.",,,"Brasil",,"Conceição da Barra","Floresta Alta, km 4 na estrada que circunda a reserva, trecho conservado, sub-bosque sombreado. Reserva Biológica de Córrego Grande","-18,2555556","-39,8194445","Reserva Biológica do Córrego Grande","Nativa","NE"
"NY00164772","NA","NY","ACANTHACEAE","Herpetacanthus","ACANTHACEAE Herpetacanthus acuminatus (Lindau) Bremek.","D. G. Campbell;",8920,"12/10/1986",,"D. C. Wasshausen","s. d.",,"Brazil",,,"Upper Río Moa, base of Serra Azul","-7,48000000000000043","-73,6500000000000057","Parque Nacional da Serra do Divisor","Nativa","NE"
"CEPEC00126846","CEPEC","CEPEC","ACANTHACEAE","Herpetacanthus","ACANTHACEAE Herpetacanthus longiflorus Moric.","L. Daneu",222,"//",,,"s. d.",,"Brasil",,"PRADO","Parque Nacional do Descobrimento. Entrada à esquerda no km8 da estrada principal que atravessa o Parque.",,,"Parque Nacional do Descobrimento","nativa","NT"
