"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Bromeliaceae","Dyckia","tuberosa","(Vell.) Beer","BROMELIACEAE Dyckia tuberosa (Vell.) Beer","335719","SPLINK","SP","Freitas, L.","495","Native","Ouro","Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Cyperaceae","Eleocharis","maculosa","(Vahl) Roem. & Schult.","CYPERACEAE Eleocharis maculosa (Vahl) Roem. & Schult.","SPF00095896","SPLINK","SPF","Catharino, E.L.M.","1931","Native","Ouro","Parque Nacional da Serra da Bocaina, Posses.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Epidendrum","secundum","Jacq.","ORCHIDACEAE Epidendrum secundum Jacq.","BHCB198340","SPLINK","BHCB","Batista, J.A.N.","3501a","Native","Ouro","Parque Nacional da Serra da Bocaina, Estrada para o Parque.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Euphorbiaceae","Euphorbia","thymifolia","L.","EUPHORBIACEAE Euphorbia thymifolia L.","SP0447146","SPLINK","SP","Silva, O.L.M.","64","Native","Ouro","Arredores da praça central, próxima à sede do Parque Nacional da Serra da Bocaina. Crescendo entre ladrilhos das ruas.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Eurystyles","actinosophila","(Barb.Rodr.) Schltr.","ORCHIDACEAE Eurystyles actinosophila (Barb.Rodr.) Schltr.","BHCB195286","SPLINK","BHCB","Batista, J.A.N.","3513","Native","Ouro","Parque Nacional da Serra da Bocaina, Trilha do Ouro","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Bromeliaceae","Fernseea","bocainensis","E.Pereira & Moutinho","BROMELIACEAE Fernseea bocainensis E.Pereira & Moutinho","RB00287222",,"RB","Martinelli, G.","4673","Native","Ouro","Próximo ao marco 22. Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Rubiaceae","Galium","nigroramosum","(Ehrend.) Dempster","RUBIACEAE Galium nigroramosum (Ehrend.) Dempster","RB00941154",,"RB","Bovini, M.G.","3996","Native","Ouro","Parque Nacional da Serra da Bocaina, estrada para a trilha do ouro, logo após a guarita de entrada do Parque. Cachoeira São Isidro.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Asteraceae","Grazielia","intermedia","(DC.) R.M.King & H.Rob.","ASTERACEAE Grazielia intermedia (DC.) R.M.King & H.Rob.","HUFU00046269","SPLINK","HUFU","Assis, M.V.","s.n.","Native","Ouro","Parque Nacional da Serra da Bocaina, Próximo ao fim da trilha, São José do Barreiro.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Habenaria","alpestris","Cogn.","ORCHIDACEAE Habenaria alpestris Cogn.","BHCB195289","SPLINK","BHCB","Batista, J.A.N.","3516","Native","Ouro","Parque Nacional da Serra da Bocaina, Triha para o Pico da Bacia","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Habenaria","ciliatisepala","J.A.N.Bat. & Bianch.","ORCHIDACEAE Habenaria ciliatisepala J.A.N.Bat. & Bianch.","BHCB195287","SPLINK","BHCB","Batista, J.A.N.","3514","Native","Ouro","Parque Nacional da Serra da Bocaina, Triha para o Pico da Bacia","Não"
