"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","verbatimLatitude","verbatimLongitude","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","occurrenceRemarks","coordinatePrecision","recordNumber","barcode","continentocean","minimumelevationinmeters","maximumelevationinmeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","phylum","class","order","infraspecificepithet","preparationtype","individualcount","previouscatalognumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetName","eventDate","fieldNotes","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","occurrenceID","individualCount","establishmentMeans","georeferenceVerificationStatus","occurrenceStatus","preparations","associatedOccurrences","otherCatalogNumbers","previousIdentifications","fieldNumber","startDayOfYear","endDayOfYear","higherGeography","continent","typeStatus","taxonID","acceptedNameUsageID","higherClassification","genericName","specificEpithet","infraspecificEpithet","verbatimTaxonRank","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","species","verbatimScientificName","protocol","lastParsed","lastCrawled","repatriated","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","geodeticDatum","imageCollectionCode","duplicates","recordedByExtra","dateCollected","verbatimElevationMax","measurementUnit","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Inga marginata","speciesLink","UB","128870","Inga marginata","Plantae","Fabaceae","Inga","1981","09","15","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira.","UNB","PreservedSpecimen","Tamashiro, JY","21º51'0''S","47º28'12''W","224","marginata","Bertoni, JEA","-47.47","-21.85","2025-05-01T12:06:08","<nO>Flores cremes.; Arvoreta.; Mata</nO>",,"20393","UB1223596",,,,"Willd.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"UB","code not found","Bertoni, J.E.A.","20393","1981","Tamashiro, J.Y.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.47,"coord_original","miliseconds","ok_same_resolution","Inga marginata","Willd.","possibly_ok","Fabaceae","Inga marginata","Willd.","species","name accepted","bfo-23012",,,"Inga marginata Willd.","Inga","Fabaceae","high","Inga marginata"
"Inga striata","speciesLink","UB","128891","Inga striata","Plantae","Fabaceae","Inga","1981","09","15","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira.","UNB","PreservedSpecimen","Tamashiro, JY","21º51'0''S","47º28'12''W","224","striata","Bertoni, JEA","-47.47","-21.85","2025-05-01T12:06:08","<nO>Com flores.; Árvore 4-6m.; Mata</nO>",,"20395","UB1010106",,,,"Benth.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"UB","code not found","Bertoni, J.E.A.","20395","1981","Tamashiro, J.Y.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.47,"coord_original","miliseconds","ok_same_resolution","Inga striata","Benth.","possibly_ok","Fabaceae","Inga striata","Benth.","species","name accepted","bfo-23029",,,"Inga striata Benth.","Inga","Fabaceae","high","Inga striata"
"Inga vera","speciesLink","INPA","266946","Inga vera","Plantae","Leguminosae-Mim","Inga","2012","10","04","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","INPA","Preservedspecimen",,"-21.8566222200","-47.4355083300","95","vera","Konopczyk, RMG","-47.43550833","-21.85662222","2025-02-17T13:03:01","<nO>Várzea do rio Mogi Guaçu. Várzea. Árvore; 12 m de altura; muito abundante por toda a várzea, principalmente em locais de topografia mais plana e com inundações frequentes.</nO>",,,"INPA0266946",,,,"Willd.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"INPA",,"Konopczyk, R.M.G.","s.n.","2012","s.n.","n.d.",,"Konopczyk",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85662222,-47.43550833,"coord_original","miliseconds","ok_same_resolution","Inga vera","Willd.","possibly_ok","Fabaceae","Inga vera","Willd.","species","name accepted","bfo-23039",,,"Inga vera Willd.","Inga","Fabaceae","unknown","Inga vera"
"Inga vera subsp. affinis","speciesLink","R","233744","Inga affinis","Plantae","Fabaceae","Inga","2012","10","04","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","MN","PreservedSpecimen","Konopczyk, R.M.G.",,,"189","affinis","Konopczyk, R.M.G.","-47.470001","-21.85","2025-01-15T22:29:59",,"13859",,"R010037533",,,,"DC.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"R",,"Konopczyk, R.M.G.","s.n.","2012","Konopczyk, R.M.G.","n.d.",,"Konopczyk",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Inga vera subsp. affinis","(DC.) T.D.Penn.","possibly_ok","Fabaceae","Inga vera subsp. affinis","(DC.) T.D.Penn.","subspecies","replaced synonym","bfo-23040","Inga vera subsp. affinis","(DC.) T.D.Penn.","Inga vera subsp. affinis (DC.) T.D.Penn.","Inga","Fabaceae","low","Inga vera"
"Ionopsis utricularioides","speciesLink","UEC","160188","Ionopsis utricularioides","Plantae","Orchidaceae","Ionopsis","2010","07","13","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, Trilha do Rio Mogi-Guaçú.","UNICAMP","S","Forster, W","-21.816667","-47.416667","2","utricularioides","Oliveira, APC; Osaco, M","-47.416667","-21.816667","2025-04-07T10:44:36","<nO>Erva epífita, folhas verde-arroxeadas, flores lilases com nervuras lilases escuras.; Subbosque em mata ciliar.</nO>",,"101","UEC017749",,"560","600","(Sw.) Lindl.","2011","12",,"Liliopsida",,,,,,,"SPLINK","Porto Ferreira","2011-12-NA",,,,,,,,,,,,,"UEC",,"Oliveira, A.P.C.","101","2010","Forster, W.","2011","Osaco, M.","Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Ionopsis utricularioides","(Sw.) Lindl.","possibly_ok","Orchidaceae","Ionopsis utricularioides","(Sw.) Lindl.","species","name accepted","bfo-11759",,,"Ionopsis utricularioides (Sw.) Lindl.","Ionopsis","Orchidaceae","high","Ionopsis utricularioides"
"Ipomoea chondrosepala","speciesLink","SP","425946","Ipomoea chondrosepala","Plantae","Convolvulaceae","Ipomoea","2010","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, trilha do Poção","IBt","PreservedSpecimen","Simão Bianchini, R","-21.816667","-47.416667","1","chondrosepala","Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2024-12-31T12:39:11",,,"7743",,,"520","600","Hallier f.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"SP",,"Lombardi, J.A.","7743","2010","Bianchini, R.S.","n.d.","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Ipomoea chondrosepala","Hallier f.","possibly_ok","Convolvulaceae","Ipomoea chondrosepala","Hallier f.","species","name accepted","bfo-7033",,,"Ipomoea chondrosepala Hallier f.","Ipomoea","Convolvulaceae","low","Ipomoea chondrosepala"
"Ipomoea fimbriosepala","speciesLink","HRCB","59921","Ipomoea cf.fimbriosepala","Plantae","Convolvulaceae","Ipomoea","2012","04","20","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","UNESP-RC","PreservedSpecimen","Miranda, J.F.","21º49'S","47º25'W","15","cf.fimbriosepala","Miranda, J.F.","-47.416667","-21.816667","2025-02-04T08:00:54","<nO>Trepadeira, folha trilobada, flor roxa, 0,85m de altura.Habitat: Formação savânica</nO>",,"s.n.","HRCB059921",,,,"Choisy","2013","05",,,,,,,,,"SPLINK","Porto Ferreira","2013-05-NA",,,,,,,,,,,,,"HRCB",,"Miranda, J.F.","s.n.","2012","Miranda, J.F.","2013",,"Miranda",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Ipomoea fimbriosepala","Choisy","conferre","Convolvulaceae","Ipomoea fimbriosepala","Choisy","species","name accepted","bfo-7038",,,"Ipomoea fimbriosepala Choisy","Ipomoea","Convolvulaceae","low","Ipomoea fimbriosepala"
"Ipomoea saopaulista","speciesLink","HRCB","52398","Ipomoea saopaulista","Plantae","Convolvulaceae","Ipomoea","2010","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Trilha do Poção","UNESP-RC","PreservedSpecimen","Simão-Bianchini, R.","21º49'S","47º25'W","15","saopaulista","Lombardi, J.A.","-47.416667","-21.816667","2025-02-04T08:00:56","<nO>Liana, folhas papiráceas, cálice verde, corola brancaHabitat: Borda de trilha em cerradão e mata semidecídua</nO>",,"7744","HRCB052398",,,,"O'Donell","2010","11",,,,,,,,,"SPLINK","Porto Ferreira","2010-11-NA",,,,,,,,,,,,,"HRCB",,"Lombardi, J.A.","7744","2010","Simao-Bianchini, R.","2010",,"Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha do pocao","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Ipomoea saopaulista","O'Donell","possibly_ok","Convolvulaceae","Ipomoea saopaulista","O'Donell","species","name accepted","bfo-106826",,,"Ipomoea saopaulista O'Donell","Ipomoea","Convolvulaceae","high","Ipomoea saopaulista"
"Ixora venulosa","speciesLink","FUEL","33398","Ixora venulosa","Plantae","Rubiaceae","Ixora","1997","12","13","Brasil","São Paulo","Porto Ferreira","Parque Estadual","UEL","PreservedSpecimen","Franco, GADC","0","0","48","venulosa","Bertoni, JEA","-47.470001","-21.85","2024-12-05T15:04:52","<nO>Arvoreta 4-5m; flores creme.</nO>","13859","535",,,"0","0","Benth.","1998",,,"Tracheophyta",,"Gentianales",,,,,"SPLINK","Porto Ferreira","1998-NA-NA",,,,,,,,,,,,,"FUEL",,"Bertoni, J.E.A.","535","1997","Franco, G.A.D.C.","1998",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Ixora venulosa","Benth.","possibly_ok","Rubiaceae","Ixora venulosa","Benth.","species","name accepted","bfo-14083",,,"Ixora venulosa Benth.","Ixora","Rubiaceae","medium","Ixora venulosa"
"Justicia lythroides","speciesLink","HRCB","52297","Justicia lythroides","Plantae","Acanthaceae","Justicia","2010","03","25","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Picada indo de próximo à sede em direção a trilha de uso extensivo dos jequitibás","UNESP-RC","PreservedSpecimen","Oliveira, A.P.C.",,,"15","lythroides","Lombardi, J.A.","-47.470001","-21.85","2025-02-04T07:58:04","<nO>Erva decumbente, folhas papiráceas, cálice verde, corola externamente lilás esbranquiçada, internamente lilásHabitat: Sub-bosque de cerradão e mata semidecídua</nO>","13859","7688","HRCB052297",,,,"(Nees) V.A. Graham","2010","08",,,,,,,,,"SPLINK","Porto Ferreira","2010-08-NA",,,,,,,,,,,,,"HRCB",,"Lombardi, J.A.","7688","2010","Oliveira, A.P.C.","2010",,"Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira picada indo de proximo a sede em direcao a trilha de uso extensivo dos jequitibas","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","check_local.2municip.","Justicia lythroides","(Pohl ex Nees) V.A.W.Graham","possibly_ok","Acanthaceae","Justicia lythroides","(Pohl ex Nees) V.A.W.Graham","species","author misspelled","bfo-4158",,,"Justicia lythroides (Pohl ex Nees) V.A.W.Graham","Justicia","Acanthaceae","low","Justicia lythroides"
"Lacistema hasslerianum","speciesLink","UFP","86853","Lacistema hasslerianum","Plantae","Lacistemaceae","Lacistema","2013","09","24","Brasil","São Paulo","Porto Ferreira","Parque Estadual do Porto Ferreira","UFPE","PreservedSpecimen","Sabino, GP","-21.856933","-47.434722","155","hasslerianum","Konopczyk, RMG","-47.434722","-21.856933","2021-04-26T11:25:01","<nO>Árvore; 5 m de altura; frequente em áreas de melhor drenagem da várzea; encontrada com frutos (róseos) no final de novembro.; Várzea do rio Mogi Guaçu.</nO>",,"s.n.","UFP086853",,"530","530","Chodat",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"UFP",,"Konopczyk, R.M.G.","s.n.","2013","Sabino, G.P.","n.d.",,"Konopczyk",,"brazil","sao paulo","porto ferreira","parque estadual do porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.856933,-47.434722,"coord_original","seconds","ok_same_resolution","Lacistema hasslerianum","Chodat","possibly_ok","Lacistemataceae","Lacistema hasslerianum","Chodat","species","name accepted","bfo-8097",,,"Lacistema hasslerianum Chodat","Lacistema","Lacistemataceae","low","Lacistema hasslerianum"
"Lafoensia pacari","speciesLink","MBM","287169","Lafoensia pacari","Plantae","Lythraceae","Lafoensia","1997","11","14","Brazil","São Paulo","Porto Ferreira","Parque Estadual.","MBM","PreservedSpecimen","Franco, GAD",,,"40","pacari","Dickfeldt, EP","-47.470001","-21.85","2025-05-01T00:00:56",,"13859","49","MBM287169",,,,"A.St.-Hil.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"MBM",,"Dickfeldt, E.P.","49","1997","Franco, G.A.D.","n.d.",,"Dickfeldt",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Lafoensia pacari","A.St.-Hil.","possibly_ok","Lythraceae","Lafoensia pacari","A.St.-Hil.","species","name accepted","bfo-8784",,,"Lafoensia pacari A.St.-Hil.","Lafoensia","Lythraceae","low","Lafoensia pacari"
"Lantana camara","speciesLink","ICN","205693","Lantana camara","Plantae","Verbenaceae","Lantana","2010","04","08","Brasil","SP","Porto Ferreira","Parque Estadual de Porto Ferreira, trilha do poção","UFRGS","S","Lombardi, JA","-21.816667","-47.416667","259","camara","Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2023-03-29T16:54:16","<nO>Duplicata do HRCB; Arbusto ca. 1,6m, aromático, folhas papiráceas, brácteas verdes, corola laranja a vermelha; Borda da trilha em cerradão e mata semidecídua</nO>",,"7729",,"América do Sul","520","600","L.","2010","04",,"Dicotyledon",,,,,,,"SPLINK","Porto Ferreira","2010-04-NA",,,,,,,,,,,,,"ICN",,"Lombardi, J.A.","7729","2010","Lombardi, J.A.","2010","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Lantana camara","L.","possibly_ok","Verbenaceae","Lantana camara","L.","species","name accepted","bfo-15164",,,"Lantana camara L.","Lantana","Verbenaceae","low","Lantana camara"
"Lasiacis ligulata","speciesLink","HUEFS","201968","Lasiacis ligulata","Plantae","Poaceae","Lasiacis","2010","03","25","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, picada indo de próximo a sede em direção a trilha de uso extensivo dos Jequitibás.","UEFS","PreservedSpecimen","R.T.Shirasuna","21Â°49'S",,"204","ligulata","Lombardi, J.A.","0","-21.816667","2025-04-30T14:10:17",,,"7689","HUEFS0201968",,,,"Hitchc. & Chase","2011","08",,"Angiospermae","Lilianae","Poales",,,,,"SPLINK","Porto Ferreira","2011-08-NA",,,,,,,,,,,,,"HUEFS",,"Lombardi, J.A.","7689","2010","Shirasuna, R.T.","2011",,"Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,0,"coord_original","minutes","ok_same_resolution","Lasiacis ligulata","Hitchc. & Chase","possibly_ok","Poaceae","Lasiacis ligulata","Hitchc. & Chase","species","name accepted","bfo-13297",,,"Lasiacis ligulata Hitchc. & Chase","Lasiacis","Poaceae","high","Lasiacis ligulata"
"Leandra aurea","speciesLink","FUEL","31484","Leandra aurea","Plantae","Melastomataceae","Leandra","1992","09","17","Brasil","São Paulo","Porto Ferreira","Parque Estadual","UEL","PreservedSpecimen","Chiea, SAC","0","0","48","aurea","Bertoni, JEA","-47.470001","-21.85","2024-12-05T15:05:37","<nO>Arbusto 2m; flores arroxeada; cerrado.</nO>","13859","155","FUEL010372",,"0","0","(Cham.) Cogn.","1997",,,"Tracheophyta",,"Myrtales",,,,,"SPLINK","Porto Ferreira","1997-NA-NA",,,,,,,,,,,,,"FUEL",,"Bertoni, J.E.A.","155","1992","Chiea, S.A.C.","1997",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Leandra aurea","(Cham.) Cogn.","possibly_ok","Melastomataceae","Leandra aurea","(Cham.) Cogn.","species","name accepted","bfo-9506",,,"Leandra aurea (Cham.) Cogn.","Leandra","Melastomataceae","high","Leandra aurea"
"Leandra ibaguensis","speciesLink","SPSF","17371","Leandra ibaguensis","Plantae","Melastomataceae","Leandra","1993","09","14","Brasil","SP","Porto Ferreira","P.E.Instituto Florestal","IF","PreservedSpecimen",,,,"13","ibaguensis","J.E.A.Bertoni","-47.470001","-21.85","2024-08-06T09:15:27","<nO>COLETA: XLS: SPSFAntigo;</nO>","13859","229","SPSF00017371","América do Sul",,,,,,,"Magnoliophyta","Magnoliopsida","Myrtales",,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"SPSF",,"Bertoni, J.E.A.","229","1993","s.n.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadualinstituto florestal","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","check_local.2municip.","Leandra ibaguensis",,"possibly_ok",,"Leandra ibaguensis",,"species","not found",,,,"Leandra ibaguensis","Leandra","Melastomataceae","unknown","Leandra ibaguensis"
"Lepismium warmingianum","speciesLink","HRCB","54942","Lepismium warmingianum","Plantae","Cactaceae","Lepismium","2011","03","17","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira trilha do rio mogi-guaçu","UNESP-RC","PreservedSpecimen","Lombardi, J.A. & Oliveira, A.P.C.","21º49'S","47º25'W","15","warmingianum","Lombardi, J.A.","-47.416667","-21.816667","2025-02-04T08:00:14","<nO>Arbusto epífita carnoso, estérilHabitat: trilha próxima a margem do rio</nO>",,"8085","HRCB054942",,"520","520","(K.Schum.) Barthlott","2011","04",,,,,,,,,"SPLINK","Porto Ferreira","2011-04-NA",,,,,,,,,,,,,"HRCB",,"Lombardi, J.A.","8085","2011","Lombardi, J.A.","2011",,"Lombardi","Oliveira, A.P.C.","brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha do rio mogi-guacu","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Lepismium warmingianum","(K.Schum.) Barthlott","possibly_ok","Cactaceae","Lepismium warmingianum","(K.Schum.) Barthlott","species","name accepted","bfo-1557",,,"Lepismium warmingianum (K.Schum.) Barthlott","Lepismium","Cactaceae","high","Lepismium warmingianum"
"Leptolobium dasycarpum","speciesLink","SPSF","24697","Acosmium dasycarpum","Plantae","Fabaceae","Acosmium","1985","08","22","Brasil","SP","Porto Ferreira","P.E.Instituto Florestal","IF","PreservedSpecimen",,,,"13","dasycarpum","J.E.A.Bertoni & D.V.Toledo Filho","-47.470001","-21.85","2024-08-06T09:13:44","<nO>COLETA: XLS: SPSFAntigo; GEOGRAFIA: cerrado&nf;;</nO>","13859","509","SPSF00024697","América do Sul",,,,,,,"Magnoliophyta","Magnoliopsida","Fabales",,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"SPSF",,"Bertoni, J.E.A.","509","1985","s.n.","n.d.","Toledo Filho, D.V.","Bertoni",,"brazil","sao paulo","porto ferreira","parque estadualinstituto florestal","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","check_local.2municip.","Leptolobium dasycarpum","Vogel","possibly_ok","Fabaceae","Leptolobium dasycarpum","Vogel","species","replaced synonym","bfo-101103","Leptolobium dasycarpum","Vogel","Leptolobium dasycarpum Vogel","Leptolobium","Fabaceae","unknown","Leptolobium dasycarpum"
