"","data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","coordinatePrecision","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","occurrenceRemarks","continentocean","phylum","class","order","recordNumber","locality","verbatimLatitude","verbatimLongitude","minimumelevationinmeters","maximumelevationinmeters","previouscatalognumber","individualcount","fieldnumber","infraspecificepithet","relationshiptype","relatedcatalogitem","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Lessingianthus glabratus","user",,"RB","RB01223122","Lessingianthus glabratus (Less.) H.Rob.","Plantae","Asteraceae","Lessingianthus","2016","1","8","Brasil","São Paulo",,,"JBRJ","Preserved Specimen","G. Durigan",,,,,,"G.B. Assis; N.A.L. Pilon, G. Durigan","-49.2369444","-22.7916666",,"(Less.) H.Rob.","Subarbusto, 80 cm de altura, capítulos roxos.",,,,,"267","campo úmido. Estação Ecológica de Santa Bárbara","22º47´30´´","49º14´13´´W",,,,,,,,,,,"Águas de Santa Bárbara","2016-1",,,"BR",,,"2016-01-08",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","267","2016","Durigan, G.","2016","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1223122",,,,,,,,,,,,,,,,,,,,,,"RB 675175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glabratus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/31/22/01223122.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-12 15:13:29+00","Angiospermas","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Lessingianthus glabratus","(Less.) H.Rob.","name_w_authors","Asteraceae","Lessingianthus glabratus","(Less.) H.Rob.","species","name accepted","bfo-27189",,,"Lessingianthus glabratus (Less.) H.Rob.","Lessingianthus","Asteraceae","medium","Lessingianthus glabratus"
"Lessingianthus grandiflorus","user",,"RB","RB01222986","Lessingianthus grandiflorus (Less.) H.Rob.","Plantae","Asteraceae","Lessingianthus","2014","3","19","Brasil","São Paulo",,,"JBRJ","Preserved Specimen","G. Durigan",,,,,,"G.B. Assis; N.A.L. Pilon, G. Durigan","-49.2369444","-22.7916666",,"(Less.) H.Rob.","Subarbusto, 40 cm de altura, capítulos roxo.",,,,,"22","campo cerrado. Estação Ecológica de Santa Bárbara","22º47´30´´","49º14´13´´W",,,,,,,,,,,"Águas de Santa Bárbara","2014-3-19",,,"BR",,,"2014-03-19",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","22","2014","Durigan, G.","2014","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1222986",,,,,,,,,,,,,,,,,,,,,,"RB 675039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"grandiflorus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/29/86/01222986.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-12 15:06:06+00","Angiospermas","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Lessingianthus grandiflorus","(Less.) H.Rob.","name_w_authors","Asteraceae","Lessingianthus grandiflorus","(Less.) H.Rob.","species","name accepted","bfo-27191",,,"Lessingianthus grandiflorus (Less.) H.Rob.","Lessingianthus","Asteraceae","medium","Lessingianthus grandiflorus"
"Lessingianthus niederleinii","speciesLink","SPSF00057795","SPSF","57795","Lessingianthus niederleinii","Plantae","Asteraceae","Lessingianthus","2016","02","12","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2016","02","12","13","niederleinii","N.Pilon & G.Durigan","-49.2375","-22.816667","2024-08-06T09:13:13","(Hieron.) H.Rob.","<nO>COLETA: Arbusto. Folhas rijas. Flores magenta.; GEOGRAFIA: Campo Cerrado.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Asterales","865","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2016-02-12",,,,,,,,,,,,,,,,,,"SPSF",,"Pilon, N.","865","2016","Durigan, G.","2016","Durigan, G.","Pilon",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Lessingianthus niederleinii","(Hieron.) H.Rob.","possibly_ok","Asteraceae","Lessingianthus niederleinii","(Hieron.) H.Rob.","species","name accepted","bfo-27208",,,"Lessingianthus niederleinii (Hieron.) H.Rob.","Lessingianthus","Asteraceae","medium","Lessingianthus niederleinii"
"Lessingianthus tomentellus","speciesLink","SPSF00056955","SPSF","56955","Lessingianthus tomentellus","Plantae","Asteraceae","Lessingianthus","2014","03","19","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2022","08","11","13","tomentellus","N.A.L.Pilon & G.Durigan","-49.2375","-22.816667","2024-08-06T09:13:13","(Mart. ex DC.) H.Rob.","<nO>COLETA: Sub-arbusto com 50 cm. Flores roxas.; GEOGRAFIA: Campo Cerrado.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Asterales","12A","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2022-08-11",,,,,,,,,,,,,,,,,,"SPSF",,"Pilon, N.A.L.","12-A","2014","Durigan, G.","2022","Durigan, G.","Pilon",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Lessingianthus tomentellus","(Mart. ex DC.) H.Rob.","possibly_ok","Asteraceae","Lessingianthus tomentellus","(Mart. ex DC.) H.Rob.","species","name accepted","bfo-109520",,,"Lessingianthus tomentellus (Mart. ex DC.) H.Rob.","Lessingianthus","Asteraceae","medium","Lessingianthus tomentellus"
"Lippia lasiocalycina","speciesLink","SPSF00056543","SPSF","56543","Lippia lasiocalycina","Plantae","Verbenaceae","Lippia","2014","10","02","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2022","08","12","13","lasiocalycina","G.Durigan & N.Pilon","-49.2375","-22.816667","2024-08-06T09:14:24","Cham.","<nO>COLETA: Arbusto pouco ramificado de 1,5 m de altura; flores róseo-arroxeada.; GEOGRAFIA: Cerrado stricto sensu.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Lamiales","4112","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2022-08-12",,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4112","2014","Durigan, G.","2022","Pilon, N.","Durigan",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Lippia lasiocalycina","Cham.","possibly_ok","Verbenaceae","Lippia lasiocalycina","Cham.","species","name accepted","bfo-15176",,,"Lippia lasiocalycina Cham.","Lippia","Verbenaceae","medium","Lippia lasiocalycina"
"Lippia lupulina","speciesLink","SPSF00050060","SPSF","50060","Lippia lupulina","Plantae","Verbenaceae","Lippia","2015","09","22","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2015","09","22","13","lupulina","F.M.Souza","-49.243889","-22.809444","2024-08-06T09:14:24","Cham.","<nO>COLETA: Erva de 30 cm de altura; flores magenta e amarelas.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Lamiales","1238","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"SPLINK","Águas de Santa Bárbara","2015-09-22",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","1238","2015","Durigan, G.","2015",,"Souza",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Lippia lupulina","Cham.","possibly_ok","Verbenaceae","Lippia lupulina","Cham.","species","name accepted","bfo-15178",,,"Lippia lupulina Cham.","Lippia","Verbenaceae","medium","Lippia lupulina"
"Lippia origanoides","speciesLink","SPSF00056782","SPSF","56782","Lippia origanoides","Plantae","Verbenaceae","Lippia","2013","06","05","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","N.A.L.Pilon","2018","10","24","13","origanoides","N.A.L.Pilon & G.Durigan","-49.2375","-22.816667","2024-08-06T09:14:24","Kunth","<nO>COLETA: Arbusto; flores branca.; GEOGRAFIA: Cerrado stricto sensu.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Lamiales","719","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2018-10-24",,,,,,,,,,,,,,,,,,"SPSF",,"Pilon, N.A.L.","719","2013","Pilon, N.A.L.","2018","Durigan, G.","Pilon",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Lippia origanoides","Kunth","possibly_ok","Verbenaceae","Lippia origanoides","Kunth","species","name accepted","bfo-21449",,,"Lippia origanoides Kunth","Lippia","Verbenaceae","low","Lippia origanoides"
"Lippia stachyoides","speciesLink","SPSF00056778","SPSF","56778","Lippia stachyoides","Plantae","Verbenaceae","Lippia","2014","01","10","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2014","01","10","13","stachyoides","N.A.L.Pilon & G.Durigan","-49.2375","-22.816667","2024-08-06T09:14:24","Cham.","<nO>COLETA: Subarbusto, ramos robustos partindo da base, flores liláses.; GEOGRAFIA: Campo Cerrado.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Lamiales","714","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2014-01-10",,,,,,,,,,,,,,,,,,"SPSF",,"Pilon, N.A.L.","714","2014","Durigan, G.","2014","Durigan, G.","Pilon",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Lippia stachyoides","Cham.","possibly_ok","Verbenaceae","Lippia stachyoides","Cham.","species","name accepted","bfo-33210",,,"Lippia stachyoides Cham.","Lippia","Verbenaceae","medium","Lippia stachyoides"
"Lithraea molleoides","gbif",,"UEC","55611","Lithraea molleoides (Vell.) Engl.","Plantae","Anacardiaceae","Lithraea","1990","10","9","Brazil","São Paulo",,,"UNICAMP","PRESERVED_SPECIMEN","Meira Neto, JAA",,,,"https://specieslink.net/col/2",,"Meira Neto, JAA; Martins, E; Siqueira, MF",,,"2023-03-09 11:25:51","(Vell.) Engl.","Árvore com 3m; estéril em (1006).",,"Tracheophyta","Magnoliopsida","Sapindales","719","Estação Ecológica de Santa Bárbara, Cerrado.",,,,,,,,,,,,"GBIF","Águas de Santa Bárbara","1991-07-01","Lithraea molleoides (Vell.) Engl.",,"BR",,,"1990-10-09",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county","65683","1089019742",,,"CC_BY_4_0","Universidade Estadual de Campinas - Instituto de Biologia","https://specieslink.net/guid/2/55611","Herbário da Universidade Estadual de Campinas",,"Universidade Estadual de Campinas",,,,"https://specieslink.net/guid/2/55611",,,,,,,,,,,"native",,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"282","282",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3660239",,,,,,,,,,,,,,,,,"Lithraea",,,"molleoides",,,,,,,,"7741a517-ab3d-4b85-ae58-56322e44c8ce","BR","2025-01-05 15:38:15.815",,,,,,"CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE",,FALSE,FALSE,"3660239","3660239","6","7707728","220","933","2398","7697680",,"3660239","Lithraea molleoides","Lithraea molleoides",,"EML","2025-01-05 15:38:15.815","2025-01-05 15:31:00.136",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,,,,,,,"LC","https://images.cria.org.br/viewer/UEC066670",,,,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Lithraea molleoides","(Vell.) Engl.","name_w_authors","Anacardiaceae","Lithraea molleoides","(Vell.) Engl.","species","name accepted","bfo-4391",,,"Lithraea molleoides (Vell.) Engl.","Lithraea","Anacardiaceae","unknown","Lithraea molleoides"
"Lobelia exaltata","speciesLink","SPSF00059309","SPSF","59309","Lobelia exaltata","Plantae","Campanulaceae","Lobelia","2023","08","02","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2023","08","02","13","exaltata","A.C.Dalbeto & G.Durigan","-49.245","-22.780278","2024-08-06T09:13:23","Pohl","<nO>COLETA: Planta com 2 cm de altura; inflorescência esverdeada com 20 cm de comprimento.; GEOGRAFIA: Campo úmido.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Campanulales","126","Estação Ecológica de Santa Bárbara",,,"636","636",,,,,,,,"SPLINK","Águas de Santa Bárbara","2023-08-02",,,,,,,,,,,,,,,,,,"SPSF",,"Dalbeto, A.C.","126","2023","Durigan, G.","2023","Durigan, G.","Dalbeto",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Lobelia exaltata","Pohl","possibly_ok","Campanulaceae","Lobelia exaltata","Pohl","species","name accepted","bfo-6634",,,"Lobelia exaltata Pohl","Lobelia","Campanulaceae","medium","Lobelia exaltata"
"Lobelia nummularioides","gbif",,"UEC","55632","Lobelia nummularioides Cham.","Plantae","Campanulaceae","Lobelia","1990","10","9","Brazil","São Paulo",,,"UNICAMP","PRESERVED_SPECIMEN","Meira Neto, JAA",,,,"https://specieslink.net/col/2",,"Meira Neto, JAA; Martins, E; Martinez, F; Siqueira",,,"2024-11-25 11:18:04","Cham.","Erva na beira de estrada do riacho, flores rochas.; Cerrado.",,"Tracheophyta","Magnoliopsida","Asterales","636","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"GBIF","Águas de Santa Bárbara","1991-07-01","Lobelia nummularioides Cham.",,"BR",,,"1990-10-09",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county","65671","1089019730",,,"CC_BY_4_0","Universidade Estadual de Campinas - Instituto de Biologia","https://specieslink.net/guid/2/55632","Herbário da Universidade Estadual de Campinas",,"Universidade Estadual de Campinas",,,,"https://specieslink.net/guid/2/55632",,,,,,,,,,,"native",,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"282","282",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5409160",,,,,,,,,,,,,,,,,"Lobelia",,,"nummularioides",,,,,,,,"7741a517-ab3d-4b85-ae58-56322e44c8ce","BR","2025-01-05 15:38:15.365",,,,,,"CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE",,FALSE,FALSE,"5409160","5409160","6","7707728","220","414","8801","2756426",,"5409160","Lobelia nummularioides","Lobelia nummularioides",,"EML","2025-01-05 15:38:15.365","2025-01-05 15:31:00.136",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,,,,,,,"NE","https://images.cria.org.br/viewer/UEC094708",,,,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Lobelia nummularioides","Cham.","name_w_authors","Campanulaceae","Lobelia nummularioides","Cham.","species","name accepted","bfo-34580",,,"Lobelia nummularioides Cham.","Lobelia","Campanulaceae","unknown","Lobelia nummularioides"
"Loranthaceae","speciesLink","SPSF00056524","SPSF","56524","Loranthaceae","Plantae","Loranthaceae",,"2014","07","22","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen",,,,,"13",,"G.Durigan & N.Pilon","-49.2375","-22.816667","2024-08-06T09:16:42",,"<nO>COLETA: Hemiparasita sobre árvore.; GEOGRAFIA: Cerrado stricto sensu.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Santalales","4090","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara",,,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4090","2014","s.n.","n.d.","Pilon, N.","Durigan",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Loranthaceae","Juss.","family_as_genus","Loranthaceae","Loranthaceae","Juss.","family","name accepted","bfo-152",,,"Loranthaceae Juss.",,"Loranthaceae","unknown",
