"Nome.da.UC","Municípios.Abrangidos","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR","CAPÃO BONITO (SP) - ELDORADO (SP) - IPORANGA (SP) - JUQUIÁ (SP) - JUQUITIBA (SP) - MIRACATU (SP) - PEDRO DE TOLEDO (SP) - RIBEIRÃO GRANDE (SP) - SETE BARRAS (SP) - TAPIRAÍ (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL SILVEIRAS","SILVEIRAS (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA","ATIBAIA (SP) - BRAGANÇA PAULISTA (SP) - JOANÓPOLIS (SP) - MAIRIPORÃ (SP) - NAZARÉ PAULISTA (SP) - PIRACAIA (SP) - VARGEM (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA","ANHEMBI (SP) - BOTUCATU (SP) - DOIS CÓRREGOS (SP) - PIRACICABA (SP) - SANTA MARIA DA SERRA (SP) - SÃO PEDRO (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ","TIETÊ (SP)",0,0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","BARUERI (SP) - BIRITIBA MIRIM (SP) - CARAPICUÍBA (SP) - GUARULHOS (SP) - ITAQUAQUECETUBA (SP) - MOGI DAS CRUZES (SP) - OSASCO (SP) - POÁ (SP) - SALESÓPOLIS (SP) - SANTANA DE PARNAÍBA (SP) - SÃO PAULO (SP) - SUZANO (SP)",0,0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA","SANTA RITA DO PASSA QUATRO (SP)",0,0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","SANTA RITA DO PASSA QUATRO (SP)",618,302,297,215,80
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DA PEDRA BRANCA","TREMEMBÉ (SP)",0,0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA AMEIXAL","PERUÍBE (SP)",0,0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA","PERUÍBE (SP)",0,0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","AGUDOS (SP) - BAURU (SP) - PEDERNEIRAS (SP)",0,0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","CAMPINAS (SP) - PAULÍNIA (SP)",46,26,26,25,17
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATÃO DE COSMÓPOLIS","ARTUR NOGUEIRA (SP) - COSMÓPOLIS (SP)",0,0,0,0,0
"ARIE DE SÃO SEBASTIÃO","CARAGUATATUBA (SP) - ILHABELA (SP) - SÃO SEBASTIÃO (SP) - UBATUBA (SP)",0,0,0,0,0
"ARIE DO GUARÁ","ILHA COMPRIDA (SP)",0,0,0,0,0
"ARIE ZONA DE VIDA SILVESTRE DA APA DA ILHA COMPRIDA","ILHA COMPRIDA (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA BANANAL","BANANAL (SP)",267,92,65,70,49
