"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","institutionCode","phylum","basisOfRecord","collectionID","recordedBy","decimalLongitude","decimalLatitude","modified","locality","identifiedBy","specificepithet","scientificNameAuthorship","barcode","verbatimLatitude","verbatimLongitude","recordNumber","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","minimumelevationinmeters","maximumelevationinmeters","continentocean","preparationtype","order","individualcount","class","infraspecificepithet","fieldnumber","typeStatus","previouscatalognumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Guapira opposita","gbif","PMSP","PMSP019240","Guapira opposita (Vell.) Reitz","Plantae","Nyctaginaceae","Guapira","2016","10","18","Brasil","São Paulo",,"PMSP","Tracheophyta","PRESERVED_SPECIMEN",,"L.Granato;R.J.F.Garcia,B.G.Fries",,,,"Estação Ecológica do Itapeti.","E.H.P.Barretto",,"(Vell.) Reitz",,,,"65","Arvoreta, 3 m alt., frutos verdes a atro-purpúreos.",,,,,,,,,"Caryophyllales",,"Magnoliopsida",,,,,"GBIF","Mogi das Cruzes",,"Guapira opposita (Vell.) Reitz","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5447807","BR",,,"2016-10-18",,,,,,"ACCEPTED","SPECIES",,,"2016-10-18",,,,,,,,,,,,"brazil","sao paulo","mogi das cruzes","estacao ecologica do itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","514153","2575944303",,,"CC_BY_4_0","Instituto de Pesquisas Jardim Botanico do Rio de Janeiro",,"PMSP",,,,,,"5447807",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"292","292",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7327320",,,,,,,,,,,,,,,,,"Guapira",,,"opposita",,,,,,,,"4012b76b-7f81-4bd9-b887-6fd3e6a5588c","BR","2025-01-01 15:28:23.424",,,,,,"IDENTIFIED_DATE_INVALID;CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"7327320","7327320","6","7707728","220","422","6718","3086054",,"7327320","Guapira opposita","Guapira opposita (Vell.) Reitz",,"EML","2025-01-01 15:28:23.424","2025-01-01 12:06:25.946",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,,,,,,,"NE","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/92/40/pmsp00019240.dzi",,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","check_local.2municip.","Guapira opposita","(Vell.) Reitz","name_w_authors","Nyctaginaceae","Guapira opposita","(Vell.) Reitz","species","name accepted","bfo-10913",,,"Guapira opposita (Vell.) Reitz","Guapira","Nyctaginaceae","unknown","Guapira opposita"
"Guarea macrophylla","speciesLink","SPSF","52671","Guarea macrophylla","Plantae","Meliaceae","Guarea","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L. Rossi et al.","-46.244722","-23.514167","2024-08-06T09:16:50","Estação Ecológica de Itapeti","L. Rossi","macrophylla","Vahl","SPSF00052671",,,"3013","<nO>COLETA: Árvore, 3,5m de altura. Frutos imaturos.; GEOGRAFIA: Trilha de Palmital. Floresta Ombrófila Densa Montana, alterada.;</nO>","2017","06","01",,,,"América do Sul",,"Sapindales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-01",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3013","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Guarea macrophylla","Vahl","possibly_ok","Meliaceae","Guarea macrophylla","Vahl","species","name accepted","bfo-9997",,,"Guarea macrophylla Vahl","Guarea","Meliaceae","medium","Guarea macrophylla"
"Guarea macrophylla subsp. tuberculata","gbif","PMSP","PMSP019238","Guarea macrophylla subsp. tuberculata (Vell.) T.D.Penn.","Plantae","Meliaceae","Guarea","2016","10","18","Brasil","São Paulo",,"PMSP","Tracheophyta","PRESERVED_SPECIMEN",,"L.Granato;R.J.F.Garcia,R.J.F. Garcia,L. Granato,B.G.Fries,B.G. Fries",,,,"Estação Ecológica do Itapeti.","E.H.P. Barretto",,"Vahl",,,,"67","Árvore, 5 m alt.; frutos marrons, sementes vermelhas. Frequente.",,,,,,,,,"Sapindales",,"Magnoliopsida",,,,,"GBIF","Mogi das Cruzes",,"Guarea macrophylla subsp. tuberculata (Vell.) T.D.Penn.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5447805","BR",,,"2016-10-18",,,,,,"ACCEPTED","SUBSPECIES",,,"2016-10-18",,,,,,,,,,,,"brazil","sao paulo","mogi das cruzes","estacao ecologica do itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","514156","2575944306",,,"CC_BY_4_0","Instituto de Pesquisas Jardim Botanico do Rio de Janeiro",,"PMSP",,,,,,"5447805",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"292","292",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3851406",,,,,,,,,,,,,,,,,"Guarea",,,"macrophylla","tuberculata",,,,,,,"4012b76b-7f81-4bd9-b887-6fd3e6a5588c","BR","2025-01-01 15:28:23.425",,,,,,"IDENTIFIED_DATE_INVALID;CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"3851406","3851406","6","7707728","220","933","2397","3190499",,"7271393","Guarea macrophylla","Guarea macrophylla subsp. tuberculata Vahl",,"EML","2025-01-01 15:28:23.425","2025-01-01 12:06:25.946",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,,,,,,,,"jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/92/38/pmsp00019238.dzi",,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","check_local.2municip.","Guarea macrophylla subsp. tuberculata","(Vell.) T.D.Penn.","subspecies|name_w_authors","Meliaceae","Guarea macrophylla subsp. tuberculata","(Vell.) T.D.Penn.","subspecies","name accepted","bfo-19739",,,"Guarea macrophylla subsp. tuberculata (Vell.) T.D.Penn.","Guarea","Meliaceae","unknown","Guarea macrophylla"
"Helicteres brevispira","speciesLink","SPSF","52681","Helicteres brevispira","Plantae","Malvaceae","Helicteres","2017","05","25","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi & J.B. Baitello & N.M.Ivanauskas & S.F.O.Lima & M.F.Santos","-46.246111","-23.505278","2024-08-06T09:15:20","Estação Ecológica de Itapeti","V.M. Gonçalez","brevispira","A.St.-Hil.","SPSF00052681",,,"3060","<nO>COLETA: Arbusto com 1,5m de altura; flores amarelas tornando-se vermelhas, estigma róseo.; GEOGRAFIA: Trilha do Rato do Bambu. Área de pasto em regeneração.;</nO>",,,,,,,"América do Sul",,"Malvales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3060","2017","Goncalez, V.M.","n.d.","Baitello, J.B.; Ivanauskas, N.M.; Lima, S.F.O.; Santos, M.F.","Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Helicteres brevispira","A.St.-Hil.","possibly_ok","Malvaceae","Helicteres brevispira","A.St.-Hil.","species","name accepted","bfo-9067",,,"Helicteres brevispira A.St.-Hil.","Helicteres","Malvaceae","low","Helicteres brevispira"
"Iresine diffusa","speciesLink","SPSF","52685","Iresine diffusa","Plantae","Amaranthaceae","Iresine","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi & J.B. Baitello & N.M.Ivanauskas & M.F.Santos & M.Okawa & T.Y.Ashino","-46.243056","-23.512222","2024-08-06T09:13:24","Estação Ecológica de Itapeti","L. Rossi","diffusa","Humb. & Bonpl. ex Willd.","SPSF00052685",,,"3015","<nO>COLETA: Escandente, inflorescência verde-clara.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada. Trilha do Palmital.;</nO>",,,,,,,"América do Sul",,"Caryophyllales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3015","2017","Rossi, L.","n.d.","Baitello, J.B.; Ivanauskas, N.M.; Santos, M.F.; Okawa, M.; Ashino, T.Y.","Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Iresine diffusa","Humb. & Bonpl. ex Willd.","possibly_ok","Amaranthaceae","Iresine diffusa","Humb. & Bonpl. ex Willd.","species","name accepted","bfo-4325",,,"Iresine diffusa Humb. & Bonpl. ex Willd.","Iresine","Amaranthaceae","medium","Iresine diffusa"
"Leandra amplexicaulis","speciesLink","SPSF","52674","Leandra amplexicaulis","Plantae","Melastomataceae","Leandra","2017","05","23","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L. Rossi et al.","-46.244167","-23.5125","2024-08-06T09:15:26","Estação Ecológica de Itapeti","L. Rossi","amplexicaulis","DC.","SPSF00052674",,,"3040","<nO>COLETA: Árvore pequena, 2 m de altura, infrutescência vinácea.; GEOGRAFIA: Trilha do Sagui. Floresta Ombrófila densa Montana, alterada.;</nO>","2017","06","01",,,,"América do Sul",,"Myrtales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-01",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3040","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Leandra amplexicaulis","DC.","possibly_ok","Melastomataceae","Leandra amplexicaulis","DC.","species","name accepted","bfo-9500",,,"Leandra amplexicaulis DC.","Leandra","Melastomataceae","medium","Leandra amplexicaulis"
"Leandra hirta","speciesLink","SPSF","52672","Leandra bergiana","Plantae","Melastomataceae","Leandra","2017","05","23","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L. Rossi et al.","-46.244167","-23.5125","2024-08-06T09:15:27","Estação Ecológica de Itapeti","L. Rossi","bergiana","Cogn.","SPSF00052672",,,"3032","<nO>COLETA: Arbusto, 2,5m de altura, frutos vináceos.; GEOGRAFIA: Floresta Ombrófila densa montana, alterada.;</nO>","2017","06","01",,,,"América do Sul",,"Myrtales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-01",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3032","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Leandra hirta","Raddi","possibly_ok","Melastomataceae","Leandra hirta","Raddi","species","replaced synonym","bfo-9551","Leandra hirta","Raddi","Leandra hirta Raddi","Leandra","Melastomataceae","medium","Leandra hirta"
"Leandra variabilis","speciesLink","SPSF","52675","Leandra variabilis","Plantae","Melastomataceae","Leandra","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L. Rossi et al.","-46.244722","-23.514167","2024-08-06T09:15:27","Estação Ecológica de Itapeti","L. Rossi","variabilis","Raddi","SPSF00052675",,,"3027","<nO>COLETA: Arbusto, 2m de altura.; GEOGRAFIA: Trilha do Palmital. Floresta Ombrófila densa Montana, alterada.;</nO>","2017","06","01",,,,"América do Sul",,"Myrtales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-01",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3027","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Leandra variabilis","Raddi","possibly_ok","Melastomataceae","Leandra variabilis","Raddi","species","name accepted","bfo-9638",,,"Leandra variabilis Raddi","Leandra","Melastomataceae","medium","Leandra variabilis"
"Lepidaploa canescens","speciesLink","SPSF","52688","Lepidaploa canescens","Plantae","Asteraceae","Lepidaploa","2017","05","25","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi & J.B. Baitello & N.M.Ivanauskas & S.F.O.Lima & M.F.Santos","-46.246111","-23.505278","2024-08-06T09:13:13","Estação Ecológica de Itapeti","R.S.Bianchini","canescens","(Kunth) (H.Rob.)","SPSF00052688",,,"3071","<nO>COLETA: Subarbusto; corola roxa.; GEOGRAFIA: Área de pasto em regeneração. Trilha do Rato do Bambu.;</nO>",,,,,,,"América do Sul",,"Asterales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3071","2017","Bianchini, R.S.","n.d.","Baitello, J.B.; Ivanauskas, N.M.; Lima, S.F.O.; Santos, M.F.","Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Lepidaploa canescens","(Kunth) H.Rob.","possibly_ok","Asteraceae","Lepidaploa canescens","(Kunth) H.Rob.","species","author misspelled","bfo-109715",,,"Lepidaploa canescens (Kunth) H.Rob.","Lepidaploa","Asteraceae","low","Lepidaploa canescens"
"Leucochloron incuriale","speciesLink","SPSF","52695","Leucochloron incuriale","Plantae","Fabaceae","Leucochloron","2017","05","25","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi & J.B. Baitello & N.M.Ivanauskas & S.F.O.Lima & M.F.Santos","-46.246111","-23.505278","2024-08-06T09:13:55","Estação Ecológica de Itapeti","N.M.Ivanauskas","incuriale","(Vell.) Barneby & J.W.Grimes","SPSF00052695",,,"3059","<nO>COLETA: Árvore com aprox. 5m de altura; frutos imaturos verdes.; GEOGRAFIA: Área de pasto em regeneração. Trilha do Rato do Bambu.;</nO>",,,,,,,"América do Sul",,"Fabales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3059","2017","Ivanauskas, N.M.","n.d.","Baitello, J.B.; Ivanauskas, N.M.; Lima, S.F.O.; Santos, M.F.","Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Leucochloron incuriale","(Vell.) Barneby & J.W.Grimes","possibly_ok","Fabaceae","Leucochloron incuriale","(Vell.) Barneby & J.W.Grimes","species","name accepted","bfo-31038",,,"Leucochloron incuriale (Vell.) Barneby & J.W.Grimes","Leucochloron","Fabaceae","medium","Leucochloron incuriale"
"Machaerium hirtum","speciesLink","SPSF","52682","Machaerium hirtum","Plantae","Fabaceae","Machaerium","2017","05","25","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi & J.B. Baitello & N.M.Ivanauskas & S.F.O.Lima & M.F.Santos","-46.246111","-23.505278","2024-08-06T09:13:55","Estação Ecológica de Itapeti","N.M.Ivanauskas","hirtum","(Vell) Stellfeld","SPSF00052682",,,"3058","<nO>COLETA: Árvore, cerca de 3m de altura; frutos verdes amarelados.; GEOGRAFIA: Trilha do Rato do Bambu. Área de pasto em regeneração.;</nO>",,,,,,,"América do Sul",,"Fabales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3058","2017","Ivanauskas, N.M.","n.d.","Baitello, J.B.; Ivanauskas, N.M.; Lima, S.F.O.; Santos, M.F.","Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Machaerium hirtum","(Vell.) Stellfeld","possibly_ok","Fabaceae","Machaerium hirtum","(Vell.) Stellfeld","species","author misspelled","bfo-23059",,,"Machaerium hirtum (Vell.) Stellfeld","Machaerium","Fabaceae","medium","Machaerium hirtum"
"Manettia gracilis","speciesLink","SPSF","52713","Manettia gracilis","Plantae","Rubiaceae","Manettia","2017","05","23","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi et al","-46.245","-23.515278","2024-08-06T09:16:31","Estação Ecológica de Itapeti","F.Marinero","gracilis","Schltdl.","SPSF00052713",,,"3045","<nO>COLETA: Escandente. Corola vermelho-alaranjado, anteras amarelas, estigma verde.; GEOGRAFIA: Área antropizada, ao redor da sede.;</nO>","2023","10","16",,,,"América do Sul",,"Rubiales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2023-10-16",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3045","2017","Marinero, F.","2023",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Manettia gracilis","Cham. & Schltdl.","possibly_ok","Rubiaceae","Manettia gracilis","Cham. & Schltdl.","species","author misspelled","bfo-14101",,,"Manettia gracilis Cham. & Schltdl.","Manettia","Rubiaceae","low","Manettia gracilis"
