"Nome.da.UC","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumOuro","NumPrata","NumBronze","NumLatao","NumNoMatch"
"ESTAÇÃO ECOLÓGICA BAURU",131,77,71,64,34,18,30,13,16,0
"ESTAÇÃO ECOLÓGICA BRÁULIO GUEDES DA SILVA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA CAETETUS",1221,354,348,235,80,110,17,101,126,0
"ESTAÇÃO ECOLÓGICA CHAÚAS",84,30,30,28,19,12,1,10,7,0
"ESTAÇÃO ECOLÓGICA GOVERNADOR MARIO COVAS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA IBICATU",473,183,180,142,64,27,54,95,7,2
"ESTAÇÃO ECOLÓGICA ITABERÁ",655,334,326,215,87,62,121,95,56,0
"ESTAÇÃO ECOLÓGICA ITAPETI",80,62,62,51,32,4,42,15,1,0
"ESTAÇÃO ECOLÓGICA ITAPEVA",2182,497,486,294,102,198,65,168,66,2
"ESTAÇÃO ECOLÓGICA ITIRAPINA",1389,475,449,288,99,144,79,175,77,6
"ESTAÇÃO ECOLÓGICA JATAÍ",879,308,288,204,65,87,2,158,61,23
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS",8298,1398,1352,720,196,616,168,402,212,24
"ESTAÇÃO ECOLÓGICA MARÍLIA",63,58,58,51,29,23,1,7,27,0
"ESTAÇÃO ECOLÓGICA MATA DO JACARÉ",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA MOGI-GUAÇU",12874,1600,1548,659,157,958,84,441,117,28
"ESTAÇÃO ECOLÓGICA MUNICIPAL DO CAETÊ",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA MUNICIPAL DO PIRAJIBU",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA MUNICIPAL GUARANI",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA",1146,284,266,187,72,51,38,70,125,9
"ESTAÇÃO ECOLÓGICA PARANAPANEMA",1047,395,391,255,92,153,88,144,10,1
"ESTAÇÃO ECOLÓGICA PAULO DE FARIA",2595,380,358,247,74,156,4,98,122,9
"ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO",679,288,270,206,77,52,15,204,17,3
"ESTAÇÃO ECOLÓGICA SANTA BÁRBARA",2496,726,718,374,109,156,379,145,46,6
"ESTAÇÃO ECOLÓGICA SANTA MARIA",37,26,22,22,15,6,16,3,1,0
"ESTAÇÃO ECOLÓGICA TANQUE GRANDE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA TUPINAMBÁS",99,61,51,55,42,15,0,18,28,7
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",50,23,23,18,15,0,0,22,1,7
"ESTAÇÃO ECOLÓGICA VALINHOS",30,23,21,22,15,6,10,5,2,1
"ESTAÇÃO ECOLÓGICA XITUÉ",163,89,86,63,41,27,9,36,17,0
"FLORESTA ESTADUAL ASSIS",225,152,150,114,45,11,86,39,16,0
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE",1100,572,549,393,115,86,3,424,59,6
"FLORESTA ESTADUAL GUARULHOS",1,1,1,1,1,0,0,1,0,0
"FLORESTA ESTADUAL NOROESTE PAULISTA",27,17,15,16,13,0,0,14,3,0
"FLORESTA ESTADUAL PEDERNEIRAS",2,2,2,2,2,0,0,0,2,0
"FLORESTA ESTADUAL SERRA DÁGUA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLORESTA NACIONAL CAPÃO BONITO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLORESTA NACIONAL IPANEMA",1096,480,445,312,109,45,1,280,154,9
"FLORESTA NACIONAL LORENA",1,1,1,1,1,0,0,1,0,0
"MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA",95,61,59,48,32,7,5,29,20,1
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ",258,77,71,62,43,29,4,31,13,2
"MONUMENTO NATURAL ESTADUAL PEDRA GRANDE",694,310,302,207,84,126,18,59,107,0
"MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ",19,18,18,17,14,2,0,10,6,0
"PARQUE ESTADUAL AGUAPEÍ",115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL ÁGUAS DA BILLINGS",87,58,56,51,36,5,1,49,3,0
"PARQUE ESTADUAL ÁGUAS DA PRATA",8,5,5,5,5,1,0,4,0,0
