"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"34","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","SPSF00052684","SPLINK","SPSF","Rossi, L.","3052","Native","Prata","Estação Ecológica de Itapeti","Não"
"35","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Melastomataceae","Miconia","latecrenata","(DC.) Naudin","MELASTOMATACEAE Miconia latecrenata (DC.) Naudin","SPSF00052676","SPLINK","SPSF","Rossi, L.","3043","Native","Prata","Estação Ecológica de Itapeti","Não"
"39","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Primulaceae","Myrsine","coriacea","(Sw.) R.Br. ex Roem. & Schult.","PRIMULACEAE Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.","SPSF00052716","SPLINK","SPSF","Rossi, L.","3057","Native","Prata","Estação Ecológica de Itapeti","Não"
"40","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Piperaceae","Peperomia","catharinae","Miq.","PIPERACEAE Peperomia catharinae Miq.","SPSF00052669","SPLINK","SPSF","Rossi, L.","3004","Native","Prata","Estação Ecológica de Itapeti","Não"
"41","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Piperaceae","Peperomia","urocarpa","Fisch. & C.A.Mey.","PIPERACEAE Peperomia urocarpa Fisch. & C.A.Mey.","SPSF00052668","SPLINK","SPSF","Rossi, L.","3012","Native","Prata","Estação Ecológica de Itapeti","Não"
"43","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Picramniaceae","Picramnia","glazioviana","Engl.","PICRAMNIACEAE Picramnia glazioviana Engl.","SPSF00052706","SPLINK","SPSF","Rossi, L.","3007","Native","Prata","Estação Ecológica de Itapeti","Não"
"44","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Piperaceae","Piper","bowiei","Yunck.","PIPERACEAE Piper bowiei Yunck.","SPSF00052665","SPLINK","SPSF","Rossi, L.","3029","Native","Prata","Estação Ecológica de Itapeti","Não"
"46","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Piperaceae","Piper","cernuum","Vell.","PIPERACEAE Piper cernuum Vell.","SPSF00052666","SPLINK","SPSF","Rossi, L.","3005","Native","Prata","Estação Ecológica de Itapeti","Não"
"48","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Rubiaceae","Psychotria","leiocarpa","Cham. & Schltdl.","RUBIACEAE Psychotria leiocarpa Cham. & Schltdl.","SPSF00052709","SPLINK","SPSF","Rossi, L.","3026","Native","Prata","Estação Ecológica de Itapeti","Não"
"49","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Rubiaceae","Psychotria","nemorosa","Gardner","RUBIACEAE Psychotria nemorosa Gardner","SPSF00052710","SPLINK","SPSF","Rossi, L.","3063","Native","Prata","Estação Ecológica de Itapeti","Não"
"51","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Cactaceae","Rhipsalis","puniceodiscus","G.Lindb.","CACTACEAE Rhipsalis puniceodiscus G.Lindb.","SPSF00052691","SPLINK","SPSF","Rossi, L.","3041","Native","Prata","Estação Ecológica de Itapeti","Não"
"52","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Cactaceae","Rhipsalis","teres","(Vell.) Steud.","CACTACEAE Rhipsalis teres (Vell.) Steud.","SPSF00052690","SPLINK","SPSF","Rossi, L.","3010","Native","Prata","Estação Ecológica de Itapeti","Não"
"54","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Sapindaceae","Serjania","lethalis","A.St.-Hil.","SAPINDACEAE Serjania lethalis A.St.-Hil.","SPSF00052707","SPLINK","SPSF","Rossi, L.","3053","Native","Prata","Estação Ecológica de Itapeti","Não"
"55","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Smilacaceae","Smilax","elastica","Griseb.","SMILACACEAE Smilax elastica Griseb.","SPSF00052705","SPLINK","SPSF","Rossi, L.","3034","Native","Prata","Estação Ecológica de Itapeti","Não"
"57","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Symplocaceae","Symplocos","revoluta","Casar.","SYMPLOCACEAE Symplocos revoluta Casar.","SPSF00052701","SPLINK","SPSF","Rossi, L.","3011","Native","Prata","Estação Ecológica de Itapeti","Não"
"58","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Turneraceae","Turnera","serrata","Vell.","TURNERACEAE Turnera serrata Vell.","SPSF00052700","SPLINK","SPSF","Rossi, L.","3009","Native","Prata","Estação Ecológica de Itapeti","Não"
"60","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Malvaceae","Wissadula","contracta","(Link) R.E.Fr.","MALVACEAE Wissadula contracta (Link) R.E.Fr.","SPSF00052679","SPLINK","SPSF","Rossi, L.","3039","Native","Prata","Estação Ecológica de Itapeti","Não"
"2","ESTAÇÃO ECOLÓGICA DE ITAPETI","Ferns and Lycophytes","Pteridaceae","Adiantum","pentadactylon","Langsd. & Fisch.","PTERIDACEAE Adiantum pentadactylon Langsd. & Fisch.","SPSF00052697","SPLINK","SPSF","Rossi, L.","3038","Native","Bronze","Estação Ecológica de Itapeti","Não"
"3","ESTAÇÃO ECOLÓGICA DE ITAPETI","Ferns and Lycophytes","Pteridaceae","Adiantum","raddianum","C.Presl","PTERIDACEAE Adiantum raddianum C.Presl","SPSF00052696","SPLINK","SPSF","Rossi, L.","3048","Native","Bronze","Estação Ecológica de Itapeti","Não"
"5","ESTAÇÃO ECOLÓGICA DE ITAPETI","Ferns and Lycophytes","Aspleniaceae","Asplenium","auritum","Sw.","ASPLENIACEAE Asplenium auritum Sw.","SPSF00052698","SPLINK","SPSF","Rossi, L.","3047","Native","Bronze","Estação Ecológica de Itapeti","Não"
"7","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Malvaceae","Callianthe","bedfordiana","(Hook.) Donnell","MALVACEAE Callianthe bedfordiana (Hook.) Donnell","SPSF00052678","SPLINK","SPSF","Rossi, L.","3054","Native","Bronze","Estação Ecológica de Itapeti","Não"
"8","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Cannabaceae","Celtis","iguanaea","(Jacq.) Sarg.","CANNABACEAE Celtis iguanaea (Jacq.) Sarg.","SPSF00052692","SPLINK","SPSF","Rossi, L.","3044","Native","Bronze","Estação Ecológica de Itapeti","Não"
"10","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Asteraceae","Chromolaena","squalida","(DC.) R.M.King & H.Rob.","ASTERACEAE Chromolaena squalida (DC.) R.M.King & H.Rob.","SPSF00052686","SPLINK","SPSF","Rossi, L.","3056","Native","Bronze","Estação Ecológica de Itapeti","Não"
"21","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Orchidaceae","Gomesa","recurva","R.Br.","ORCHIDACEAE Gomesa recurva R.Br.","SPSF00021997","SPLINK","SPSF","Custodio Filho, A.","442/97","Native","Bronze","Estação Ecológica de Itapeti","Não"
"25","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Malvaceae","Helicteres","brevispira","A.St.-Hil.","MALVACEAE Helicteres brevispira A.St.-Hil.","SPSF00052681","SPLINK","SPSF","Rossi, L.","3060","Native","Bronze","Estação Ecológica de Itapeti","Não"
"30","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Asteraceae","Lepidaploa","canescens","(Kunth) H.Rob.","ASTERACEAE Lepidaploa canescens (Kunth) H.Rob.","SPSF00052688","SPLINK","SPSF","Rossi, L.","3071","Native","Bronze","Estação Ecológica de Itapeti","Não"
"33","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Rubiaceae","Manettia","gracilis","Cham. & Schltdl.","RUBIACEAE Manettia gracilis Cham. & Schltdl.","SPSF00052713","SPLINK","SPSF","Rossi, L.","3045","Native","Bronze","Estação Ecológica de Itapeti","Não"
"36","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Asteraceae","Mikania","cordifolia","(L.f.) Willd.","ASTERACEAE Mikania cordifolia (L.f.) Willd.","SPSF00052687","SPLINK","SPSF","Rossi, L.","3049","Native","Bronze","Estação Ecológica de Itapeti","Não"
"42","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Poaceae","Pharus","lappulaceus","Aubl.","POACEAE Pharus lappulaceus Aubl.","SPSF00052717","SPLINK","SPSF","Rossi, L.","3069","Native","Bronze","Estação Ecológica de Itapeti","Não"
"47","ESTAÇÃO ECOLÓGICA DE ITAPETI","Ferns and Lycophytes","Polypodiaceae","Pleopeltis","pleopeltifolia","(Raddi) Alston","POLYPODIACEAE Pleopeltis pleopeltifolia (Raddi) Alston","SPSF00052699","SPLINK","SPSF","Rossi, L.","3046","Native","Bronze","Estação Ecológica de Itapeti","Não"
"53","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Poaceae","Rugoloa","polygonata","(Schrad.) Zuloaga","POACEAE Rugoloa polygonata (Schrad.) Zuloaga","SPSF00052718","SPLINK","SPSF","Rossi, L.","3031","Native","Bronze","Estação Ecológica de Itapeti","Não"
"59","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Asteraceae","Vernonanthura","hilairiana","(Gardner) A.J.Vega & M.Dematt.","ASTERACEAE Vernonanthura hilairiana (Gardner) A.J.Vega & M.Dematt.","SPSF00052689","SPLINK","SPSF","Rossi, L.","3055","Native","Bronze","Estação Ecológica de Itapeti","Não"
"13","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Primulaceae","Cybianthus","cuneifolius","Mart.","PRIMULACEAE Cybianthus cuneifolius Mart.","SPSF00052714","SPLINK","SPSF","Rossi, L.","3018","Native","Latão","Estação Ecológica de Itapeti","Não"
"14","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Fabaceae","Dahlstedtia","pentaphylla","(Taub.) Burkart","FABACEAE Dahlstedtia pentaphylla (Taub.) Burkart","PMSP019236","GBIF",,,"62","Native","Latão","Estação Ecológica do Itapeti.","Não"
"16","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Thymelaeaceae","Daphnopsis","fasciculata","(Meisn.) Nevling","THYMELAEACEAE Daphnopsis fasciculata (Meisn.) Nevling","PMSP019243","GBIF",,,"69","Native","Latão","Estação Ecológica do Itapeti.","Não"
"18","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Erythroxylaceae","Erythroxylum","cuspidifolium","Mart.","ERYTHROXYLACEAE Erythroxylum cuspidifolium Mart.","PMSP019235","GBIF",,,"71","Native","Latão","Estação Ecológica do Itapeti.","Não"
"22","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Nyctaginaceae","Guapira","opposita","(Vell.) Reitz","NYCTAGINACEAE Guapira opposita (Vell.) Reitz","PMSP019240","GBIF",,,"65","Native","Latão","Estação Ecológica do Itapeti.","Não"
"24","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Meliaceae","Guarea","macrophylla","(Vell.) T.D.Penn.","MELIACEAE Guarea macrophylla subsp. tuberculata (Vell.) T.D.Penn.","PMSP019238","GBIF",,,"67","Native","Latão","Estação Ecológica do Itapeti.","Não"
"38","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Monimiaceae","Mollinedia","schottiana","(Spreng.) Perkins","MONIMIACEAE Mollinedia schottiana (Spreng.) Perkins","PMSP019239","GBIF",,,"61","Native","Latão","Estação Ecológica do Itapeti.","Não"
"45","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Piperaceae","Piper","caldense","C.DC.","PIPERACEAE Piper caldense C.DC.","SPSF00052719","SPLINK","SPSF","Rossi, L.","3030","Native","Latão","Estação Ecológica de Itapeti","Não"
"50","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Cactaceae","Rhipsalis","floccosa","Salm-Dyck ex Pfeiff.","CACTACEAE Rhipsalis floccosa Salm-Dyck ex Pfeiff.","PMSP019234","GBIF",,,"72","Native","Latão","Estação Ecológica do Itapeti.","Não"
"56","ESTAÇÃO ECOLÓGICA DE ITAPETI","Angiosperms","Loganiaceae","Strychnos","brasiliensis","(Spreng.) Mart.","LOGANIACEAE Strychnos brasiliensis (Spreng.) Mart.","PMSP019237","GBIF",,,"68","Native","Latão","Estação Ecológica do Itapeti.","Não"
