"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"45","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Fabaceae","Senna","multijuga","(Rich.) H.S.Irwin & Barneby","FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby","12230","GBIF",,,"62","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"46","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Elaeocarpaceae","Sloanea","hirsuta","(Schott) Planch. ex Benth.","ELAEOCARPACEAE Sloanea hirsuta (Schott) Planch. ex Benth.","12226","GBIF",,,"9","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Entre as linhas de transmissão","Não"
"47","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Solanaceae","Solanum","bullatum","Vell.","SOLANACEAE Solanum bullatum Vell.","12213","GBIF",,,"157","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"48","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Solanaceae","Solanum","concinnum","Schott ex Sendtn.","SOLANACEAE Solanum concinnum Schott ex Sendtn.","12238","GBIF",,,"107","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Estrada da Vargem Grande, Borda do Parque","Não"
"49","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Solanaceae","Solanum","granulosoleprosum","Dunal","SOLANACEAE Solanum granulosoleprosum Dunal","12244","GBIF",,,"99","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Estrada da Vargem Grande, Borda do Parque","Não"
"50","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Solanaceae","Solanum","rufescens","Sendtn.","SOLANACEAE Solanum rufescens Sendtn.","12245","GBIF",,,"46","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"51","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Solanaceae","Solanum","swartzianum","Roem. & Schult.","SOLANACEAE Solanum swartzianum Roem. & Schult.","12208","GBIF",,,"20","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"52","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Marantaceae","Stromanthe","thalia","(Vell.) J.M.A.Braga","MARANTACEAE Stromanthe thalia (Vell.) J.M.A.Braga","12211","GBIF",,,"156","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
"53","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Ferns and Lycophytes","Blechnaceae","Telmatoblechnum","serrulatum","(Rich.) Perrie, D.J. Ohlsen & Brownsey","BLECHNACEAE Telmatoblechnum serrulatum (Rich.) Perrie, D.J. Ohlsen & Brownsey","77743","GBIF",,,"578","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Campo úmido.","Não"
"54","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Cannabaceae","Trema","micranthum","(L.) Blume","CANNABACEAE Trema micranthum (L.) Blume","12248","GBIF",,,"85","Native","Latão","Parque Natural Municipal da Cratera de Colônia. Borda do Sítio Otsuka.","Não"
"55","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Asteraceae","Vernonanthura","beyrichii","(Less.) H.Rob.","ASTERACEAE Vernonanthura beyrichii (Less.) H.Rob.","12256","GBIF",,,"100","Native","Latão","Parque Natural Municipal da Cratera de Colônia.","Não"
"56","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Asteraceae","Vernonanthura","divaricata","(Spreng.) H.Rob.","ASTERACEAE Vernonanthura divaricata (Spreng.) H.Rob.","12212","GBIF",,,"123","Native","Latão","Parque Natural Municipal da Cratera de Colônia.","Não"
"57","PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","Angiosperms","Rutaceae","Zanthoxylum","rhoifolium","Lam.","RUTACEAE Zanthoxylum rhoifolium Lam.","12207","GBIF",,,"55","Native","Latão","Parque Natural Municipal da Cratera de Colônia","Não"
