"","data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","continentocean","county","locality","institutionCode","phylum","basisOfRecord","preparationtype","verbatimLatitude","verbatimLongitude","collectionID","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","minimumelevationinmeters","maximumelevationinmeters","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","specificepithet","coordinatePrecision","order","class","dayIdentified","infraspecificepithet","previouscatalognumber","individualcount","fieldnumber","relatedcatalogitem","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Elaphoglossum glaziovii","speciesLink","FURB67624","FURB","67624","Elaphoglossum glaziovii","Plantae","Dryopteridaceae","Elaphoglossum","2020","12","30","Brasil","São Paulo",,"Bananal","Trilha Cachoeira Sete Quedas. Estação Ecológica Bananal","FURB",,"PreservedSpecimen",,"22º48'22''S","44º22'4''W","186","L. Biral; P.A. Freitas","-44.3677778","-22.8061111","2025-06-01T12:01:36","(Fée) Brade","2509","1200",,"<nO>Epífita</nO>","V.A.O. Dittrich","2024","5","glaziovii",,,,"20",,,,,,,"SPLINK","Bananal","2024-5-20",,,,,,,,,,,,,,,,,,"FURB",,"Biral, L.","2509","2020","Dittrich, V.A.O.","2024","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Elaphoglossum glaziovii","(Fée) Brade","possibly_ok","Dryopteridaceae","Elaphoglossum glaziovii","(Fée) Brade","species","name accepted","bfo-127735",,,"Elaphoglossum glaziovii (Fée) Brade","Elaphoglossum","Dryopteridaceae","low","Elaphoglossum glaziovii"
"Elaphoglossum langsdorffii","speciesLink","SHPR001441","SHPR","1441","Elaphoglossum langsdorffii","Plantae","Dryopteridaceae","Elaphoglossum","2020","12","30","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Monilophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-08-20T16:08:23","(Hook. & Grev.) T. Moore","2509",,,"<nO>EpífitaHabitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","langsdorffii",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2509","2020","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Elaphoglossum langsdorffii","(Hook. & Grev.) T.Moore","possibly_ok","Dryopteridaceae","Elaphoglossum langsdorffii","(Hook. & Grev.) T.Moore","species","author misspelled","bfo-91043",,,"Elaphoglossum langsdorffii (Hook. & Grev.) T.Moore","Elaphoglossum","Dryopteridaceae","low","Elaphoglossum langsdorffii"
"Eleocharis maculosa","speciesLink","SHPR001544","SHPR","1544","Eleocharis maculosa","Plantae","Cyperaceae","Eleocharis","2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:16","(Vahl) Roem. & Schult.","2611",,,"<nO>Herbácea, inflorescência marrom.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","maculosa",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2611","2021","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Eleocharis maculosa","(Vahl) Roem. & Schult.","possibly_ok","Cyperaceae","Eleocharis maculosa","(Vahl) Roem. & Schult.","species","name accepted","bfo-17193",,,"Eleocharis maculosa (Vahl) Roem. & Schult.","Eleocharis","Cyperaceae","low","Eleocharis maculosa"
"Epidendrum chlorinum","speciesLink","SHPR001492","SHPR","1492","Epidendrum chlorinum","Plantae","Orchidaceae","Epidendrum","2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:17","Barb. Rodr.","2560",,,"<nO>Epífita, flores completamente verdes, frutos verdes.Habitat: Floresta ombrófila densa montana</nO>","G. Marcusso (por foto)","2021","01","chlorinum",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2560","2020","Marcusso, G.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Epidendrum chlorinum","Barb.Rodr.","possibly_ok","Orchidaceae","Epidendrum chlorinum","Barb.Rodr.","species","author misspelled","bfo-11528",,,"Epidendrum chlorinum Barb.Rodr.","Epidendrum","Orchidaceae","low","Epidendrum chlorinum"
"Erythroxylum gonocladum","speciesLink","SHPR001517","SHPR","1517","Erythroxylum gonocladum","Plantae","Erythroxylaceae","Erythroxylum","2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:16","(Mart.) O.E. Schulz","2584",,,"<nO>Arbusto, 1,2 m de altura, flores brancas.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","gonocladum",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2584","2021","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Erythroxylum gonocladum","(Mart.) O.E.Schulz","possibly_ok","Erythroxylaceae","Erythroxylum gonocladum","(Mart.) O.E.Schulz","species","author misspelled","bfo-7704",,,"Erythroxylum gonocladum (Mart.) O.E.Schulz","Erythroxylum","Erythroxylaceae","low","Erythroxylum gonocladum"
"Fuchsia regia","user",,"HURB","HURB000030351","Fuchsia regia (Vell.) Munz",,"Onagraceae","Fuchsia","2020","12","31","Brasil","São Paulo",,,"Estação Ecológica Bananal. Trilha do Ouro. Estação Ecológica Bananal","HURB",,,,"22º 48' 22"""" S","22º 0' 0"""" E",,"Biral, L.","22","-22.8061111111111",,"(Vell.) Munz","2565",,,,"L. Biral",,,,,,,,,,,,,"não","REFLORA","Bananal","--/12/2020",,,,,,,"Arbusto escandente, flores rosas, anteras azuis.",,,,,,"SPECIES",,"1200",,,,,,,,,,,,,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"regia","ONAGRACEAE Fuchsia regia (Vell.) Munz",,,,,,,,,,,,,,,,,,,,,,,,,,,,"HURB",,"HURB 30351",,"P.A. Freitas","31/12/2020",,,"METRO",,,,,,,,"brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","ok_same_resolution","Fuchsia regia","(Vell.) Munz","name_w_authors","Onagraceae","Fuchsia regia","(Vell.) Munz","species","name accepted","bfo-3955",,,"Fuchsia regia (Vell.) Munz","Fuchsia","Onagraceae","high","Fuchsia regia"
"Gleicheniaceae","speciesLink","SHPR001540","SHPR","1540","Gleicheniaceae","Plantae","Gleicheniaceae",,"2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Monilophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:19","C. Presl","2607",,,"<nO>Herbácea, terrestre.Habitat: Floresta ombrófila densa montana</nO>",,,,,,,,,,,,,,,"SPLINK","Bananal",,,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2607","2021","s.n.","n.d.","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Gleicheniaceae","C.Presl","family_as_genus","Gleicheniaceae","Gleicheniaceae","C.Presl","family","author misspelled","bfo-91158",,,"Gleicheniaceae C.Presl",,"Gleicheniaceae","unknown",
"Gonzalagunia","speciesLink","SHPR001462","SHPR","1462","Justicia","Plantae","Acanthaceae","Justicia","2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:15",,"2530",,,"<nO>Herbácea, cálice e corola rosados.Habitat: Floresta ombrófila densa montana</nO>",,,,,,,,,,,,,,,"SPLINK","Bananal",,,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2530","2020","s.n.","n.d.","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Gonzalagunia","Ruiz & Pav.","indet","Acanthaceae|Rubiaceae","Gonzalagunia","Ruiz & Pav.","genus","+1 name, but 1 accepted","bfo-14050","Gonzalagunia","Ruiz & Pav.","Gonzalagunia Ruiz & Pav.","Gonzalagunia","Acanthaceae|Rubiaceae","unknown",
"Guatteria australis","user",,"HURB","HURB000030377","Guatteria australis A.St.-Hil.",,"Annonaceae","Guatteria","2020","12","30","Brasil","São Paulo",,,"Estação Ecológica Bananal. Trilha Cachoeira Sete Quedas. Estação Ecológica Bananal","HURB",,,,"22º 48' 22"""" S","22º 0' 0"""" E",,"Biral, L.","22","-22.8061111111111",,"A.St.-Hil.","2518",,,,"L. Biral",,,,,,,,,,,,,"não","REFLORA","Bananal","--/12/2020",,,,,,,"Árvore, 3 m de altura, flores esverdeadas com o centro amarelo.",,,,,,"SPECIES",,"1200",,,,,,,,,,,,,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"australis","ANNONACEAE Guatteria australis A.St.-Hil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"HURB",,"HURB 30377",,"P.A. Freitas","30/12/2020",,,"METRO",,,,,,,,"brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","ok_same_resolution","Guatteria australis","A.St.-Hil.","name_w_authors","Annonaceae","Guatteria australis","A.St.-Hil.","species","name accepted","bfo-110377",,,"Guatteria australis A.St.-Hil.","Guatteria","Annonaceae","high","Guatteria australis"
"Hedyosmum brasiliense","speciesLink","SHPR001449","SHPR","1449","Hedyosmum brasiliense","Plantae","Chloranthaceae","Hedyosmum","2020","12","30","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-09-25T17:25:01","Mart. ex Miq.","2517",,,"<nO>Arbusto, frutos imaturos verdes, em solo úmido.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2020","12","brasiliense",,,,,,,,,,,"SPLINK","Bananal","2020-12-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2517","2020","Biral, L.","2020","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Hedyosmum brasiliense","Mart. ex Miq.","possibly_ok","Chloranthaceae","Hedyosmum brasiliense","Mart. ex Miq.","species","name accepted","bfo-6808",,,"Hedyosmum brasiliense Mart. ex Miq.","Hedyosmum","Chloranthaceae","low","Hedyosmum brasiliense"
"Hymenophyllaceae","speciesLink","SHPR001459","SHPR","1459","Hymenophyllaceae","Plantae","Hymenophyllaceae",,"2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:16",,"2527",,,"<nO>Epífita.Habitat: Floresta ombrófila densa montana</nO>",,,,,,,,,,,,,,,"SPLINK","Bananal",,,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2527","2020","s.n.","n.d.","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Hymenophyllaceae","Gaudich.","family_as_genus","Hymenophyllaceae","Hymenophyllaceae","Gaudich.","family","name accepted","bfo-91174",,,"Hymenophyllaceae Gaudich.",,"Hymenophyllaceae","unknown",
"Hypoxis decumbens","speciesLink","SHPR001448","SHPR","1448","Hypoxis decumbens","Plantae","Hypoxidaceae","Hypoxis","2020","12","30","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:16","L.","2516",,,"<nO>Herbácea, corola amarela.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2020","12","decumbens",,,,,,,,,,,"SPLINK","Bananal","2020-12-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2516","2020","Biral, L.","2020","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Hypoxis decumbens","L.","possibly_ok","Hypoxidaceae","Hypoxis decumbens","L.","species","name accepted","bfo-8021",,,"Hypoxis decumbens L.","Hypoxis","Hypoxidaceae","low","Hypoxis decumbens"
"Indeterminada sp.","speciesLink","SHPR001519","SHPR","1519","Indeterminada","Plantae","Indeterminada",,"2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Bryophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-16T15:27:42",,"2586",,,"<nO>Epífita, esporófito vermelho.Habitat: Floresta ombrófila densa montana</nO>",,,,,,,,,,,,,,,"SPLINK","Bananal",,,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2586","2021","s.n.","n.d.","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Indeterminada sp.",,"indet",,"Indeterminada sp.",,"genus","not found",,,,"Indeterminada sp.","Indeterminada",,"unknown",
"Iridaceae","speciesLink","SHPR001465","SHPR","1465","Iridaceae","Plantae","Iridaceae",,"2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:16",,"2533",,,"<nO>Herbácea carnosa, corola branca-azulada.Habitat: Floresta ombrófila densa montana</nO>",,,,,,,,,,,,,,,"SPLINK","Bananal",,,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2533","2020","s.n.","n.d.","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Iridaceae","Juss.","family_as_genus","Iridaceae","Iridaceae","Juss.","family","name accepted","bfo-136",,,"Iridaceae Juss.",,"Iridaceae","unknown",
