"Nome_UC","Localidade","Municipio","Estado","Freq"
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Jacaré","Cabreúva","São Paulo",187
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Cerrado","Cabreúva","São Paulo",118
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Serra do Japi","Cabreúva","São Paulo",107
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","rodovia marechal rondon","Cabreúva","São Paulo",64
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Camping Cascata","Cabreúva","São Paulo",57
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","6""S","Cabreúva","São Paulo",53
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Serra do Japi, Camping Cascata. Floresta Estacional Semidecídual","Cabreúva","São Paulo",52
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Jacaré. Cerrado","Cabreúva","São Paulo",44
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Serra do Japi","Jundiaí","São Paulo",34
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","mata da casa branca, mata mesofila semidecidua","Cabreúva","São Paulo",30
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Mata mesófila semidecídua","Cabreúva","São Paulo",28
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Jacaré. 23o14'13,6""S, 47o02'34,1""W. Cerrado","Cabreúva","São Paulo",28
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Cláudio Gianini","Cabreúva","São Paulo",27
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Rodovia Marechal Rondon (Rodrigues Alves)","Cabreúva","São Paulo",24
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","UNIDAM","Jundiaí","São Paulo",22
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Unidade de Desenvolvimento Ambiental - UNIDAM","Jundiaí","São Paulo",22
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Unidade de Desenvolvimento Ambiental","Jundiaí","São Paulo",22
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","partindo de entrada no km 72 da rodovia Raposo Tavares","Mairinque","São Paulo",22
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Chácara localizada após aproximadamente 3 km em estrada viscinal, partindo de entrada no km 72 da rodovia Raposo Tavares","Mairinque","São Paulo",22
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","passando o Sítio Santo Antonio","Cabreúva","São Paulo",21
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","serra do japi, estrada a direita","Cabreúva","São Paulo",17
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","estrada à direita","Cabreúva","São Paulo",17
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","47o02'50","Cabreúva","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","4""W","Cabreúva","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","2""S","Cabreúva","São Paulo",16
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Sítio do Sr. Jair Motta Jr","Araçariguama","São Paulo",14
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","sitio do senhor jair motta jr","Araçariguama","São Paulo",14
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Mata da Câmara","São Roque","São Paulo",14
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Usina Cerradinho","Cabreúva","São Paulo",13
"ÁREA DE PROTEÇÃO AMBIENTAL CABREUVA","Jacaré. 23o16'00,2""S, 47o01'40,4""W. Cerrado","Cabreúva","São Paulo",13
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","próximo a um curso d´água e adjacente a uma floresta de eucalipto situada dentro da área da empresa Natura","Cajamar","São Paulo",13
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Serra do Japi","Cajamar","São Paulo",8
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Planta coletada na borda de um pequeno fragmento secundário, próximo a um curso d´água e adjacente a uma floresta de eucalipto situada dentro da área da empresa Natura. Local de topografia ondulada","Cajamar","São Paulo",6
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Serra do Japi","Jundiaí","São Paulo",5
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Planta coletada na borda de um pequeno fragmento secundário, próximo a um curso d´água e adjacente a uma floresta de eucalipto situada dentro da área da empresa Natura","Cajamar","São Paulo",4
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","mata ciliar","Cajamar","São Paulo",4
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","estrada para pirapora","Cajamar","São Paulo",4
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","área da empresa Natura","Cajamar","São Paulo",4
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Estrada Cajamar-Pirapora","Cajamar","São Paulo",3
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Rodovia dos Bandeirantes, km 42","Cajamar","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Represa Atibainha Lake","","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Proximidades de Cajamar","Cajamar","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Natura","Cajamar","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Km 42 da Rodovia dos Bandeirantes, Em área de mata secundária aberta","Cajamar","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Km 42 da Rodovia dos Bandeirantes","Cajamar","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Jordanésia","Cajamar","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Forest at camping facility, Represa Atibainha Lake, ca. 21 km W of Igaratá off Dom Pedro highway between Campinas and Jacareí, alt. ca. 700 m","","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Estrada para Jundiaí","Cajamar","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Estrada Cajamar- Pirapora","Cajamar","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","Em mata a beira da Rodovia Anhanguera km 48","Cajamar","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR","21 km W of Igaratá off Dom Pedro highway between Campinas and Jacareí","","São Paulo",2
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","parque estadual","Campos do Jordão","São Paulo",1529
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","Colônia Umuarama","Campos do Jordão","São Paulo",1061
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","de Campos do Jordão","Campos do Jordão","São Paulo",602
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","parque estadual de campos do jordao","Campos do Jordão","São Paulo",592
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","P.E. de Campos do Jordão","Campos do Jordão","São Paulo",590
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","campos do jordao","Campos do Jordão","São Paulo",465
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","São José dos Alpes","Campos do Jordão","São Paulo",464
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","Umuarama","Campos do Jordão","São Paulo",428
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","Horto Florestal","Campos do Jordão","São Paulo",369
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","campos de jordao","Campos do Jordão","São Paulo",271
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","Serra da Mantiqueira","Campos do Jordão","São Paulo",237
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","pico do itapeva","Campos do Jordão","São Paulo",236
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","Instituto Florestal","Campos do Jordão","São Paulo",220
