"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","disticha","(Lehm. & Lindenb.) Lehm. & Lindenb.","ASTERACEAE Plagiochila disticha (Lehm. & Lindenb.) Lehm. & Lindenb.","RB01375983","GBIF","RB","Prudencio, R.X.A.","167","Native","Bronze","Núcleo Itutinga-Pilões. Parque Estadual da Serra do Mar","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","gymnocalycina","(Lehm. & Lindenb.) Lindenb.","ASTERACEAE Plagiochila gymnocalycina (Lehm. & Lindenb.) Lindenb.","HUSC009334","Splink","HUSC","Mello, Z.R.","5016","Native","Bronze","Parque Estadual da Serra do Mar - Intutinga Pilões - Guariuma","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","montagnei","Nees.","ASTERACEAE Plagiochila montagnei Nees.","UFP078092","Splink","UFP","Visnadi, S.R.","773","Native","Bronze","Parque Estadual da Serra do Mar- Núcleo Picinguaba","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","patula","(Sw.) Lindenb.","ASTERACEAE Plagiochila patula (Sw.) Lindenb.","HUSC009293","Splink","HUSC","Mello, Z.R.","4974","Unknown","Bronze","Parque Estadual da Serra do Mar - Intutinga Pilões - Guariuma","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","raddiana","Lindenb.","ASTERACEAE Plagiochila raddiana Lindenb.","HUSC009280","Splink","HUSC","Mello, Z.R.","s.n.","Native","Bronze","Parque Estadual da Serra do Mar - Trilha Guariuma","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","rutilans","Lindenb.","ASTERACEAE Plagiochila rutilans Lindenb.","HUSC009292","Splink","HUSC","Mello, Z.R.","4973","Native","Bronze","Parque Estadual da Serra do Mar - Intutinga Pilões - Guariuma","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Plagiochila","simplex","(Sw.) Lindenb.","ASTERACEAE Plagiochila simplex (Sw.) Lindenb.","HUSC009339","Splink","HUSC","Mello, Z.R.","5021","Native","Bronze","Parque Estadual da Serra do Mar - Intutinga Pilões - Guariuma","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Asteraceae",,,,"ASTERACEAE Plagiochila sp.","RB01376011","JABOT","RB","Prudencio, R.X.A.","396",,"Bronze","Núcleo Itutinga-Pilões, Trilha da Ferradura. Parque Estadual da Serra do Mar","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Plantaginaceae","Plantago","australis","Lam.","PLANTAGINACEAE Plantago australis Lam.","310892","Splink","SP","Souza, J.P.","733","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo Cunha, trilha do rio Bonito","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Plantaginaceae","Plantago","major","L.","PLANTAGINACEAE Plantago major L.","HRCB070759","Splink","HRCB","Verde, T.C.G.","20","Naturalized","Bronze","Parque Estadual da Serra do Mar, Núcleo Cunha Parque Estadual da Serra do Mar, Núcleo Cunha, Trilha da torre, estrada da parcela ""R"" para parcela ""S""","Não"
