"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Lauraceae","Ocotea","odorifera","(Vell.) Rohwer","LAURACEAE Ocotea odorifera (Vell.) Rohwer","3136","GBIF",,,"453","Native","Latão","Parque Estadual Alberto Löfgren.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Lauraceae","Ocotea","puberula","(Rich.) Nees","LAURACEAE Ocotea puberula (Rich.) Nees","235522","GBIF",,,"47","Native","Latão","Parque Estadual Alberto Löfgren.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Piperaceae","Piper","arboreum","Aubl.","PIPERACEAE Piper arboreum Aubl.","145717","GBIF",,,"1349","Native","Latão","Parque Estadual Alberto Löfgren, Proximidades da área ocupada pelo Clube do Tiro, regeneração da Floresta Ombrófla Densa Montana sob plantios.&nf;Altitude de 811 metros.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Piperaceae","Piper","permucronatum","Yunck.","PIPERACEAE Piper permucronatum Yunck.","145718","GBIF",,,"6","Native","Latão","Parque Estadual Alberto Löfgren, Região do São Gualberto. Floresta Ombrófila Densa Montana. Estádio médio de regeneração. Altitude aproximada de 811 metros.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Plantaginaceae","Plantago","tomentosa","Lam.","PLANTAGINACEAE Plantago tomentosa Lam.","21339","GBIF",,,"s.n.","Native","Latão","Parque Estadual Alberto Löfgren, área administrativa, na Divisão de Dasonomia","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Fabaceae","Platycyamus","regnellii","Benth.","FABACEAE Platycyamus regnellii Benth.","353690","GBIF",,,"987","Native","Latão","Parque Estadual Alberto Löfgren, arboreto Bassoti.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Melastomataceae","Pleroma","raddianum","(DC.) Gardner","MELASTOMATACEAE Pleroma raddianum (DC.) Gardner","110197","GBIF",,,"s.n.","Native","Latão","Parque Estadual Alberto Löfgren, Instituto Florestal.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Orchidaceae","Polystachya","caracasana","Rchb.f.","ORCHIDACEAE Polystachya caracasana Rchb.f.","150313","GBIF",,,"7","Native","Latão","Parque Estadual Alberto Löfgren","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Angiosperms","Orchidaceae","Polystachya","concreta","(Jacq.) Garay & Sweet","ORCHIDACEAE Polystachya concreta (Jacq.) Garay & Sweet","34512","GBIF",,,"7","Native","Latão","Parque Estadual Alberto Löfgren","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Ferns and Lycophytes","Pteridaceae","Pteris","vittata","L.","PTERIDACEAE Pteris vittata L.","150337","GBIF",,,"s.n","Naturalized","Latão","Parque Estadual Alberto Löfgren, Área administrativa, próximo ao prédio 5.","Não"
"PARQUE ESTADUAL ALBERTO LÖFGREN","Bryophytes","Olacaceae","Ptychomitrium",,"Fürnr.","OLACACEAE Ptychomitrium Fürnr.","408458","GBIF",,,"30677",,"Latão","Parque Estadual Alberto Löfgren, Cantareira","Não"
