"","UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"135","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Palicourea","sessilis","(Vell.) C.M.Taylor","RUBIACEAE Palicourea sessilis (Vell.) C.M.Taylor","RB01480956",,"RB","Dutra, L.L.","313","Native","Ouro","Parque Natural Municipal Nascentes de Paranapiacaba, Estrada do Taquarussu","Não"
"142","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Piperaceae","Piper","hispidum","Sw.","PIPERACEAE Piper hispidum Sw.","RB00671714",,"RB","Aranha, B.A.","631","Native","Ouro","Parque Natural Municipal Nascentes do Paranapiacaba. Trilha da Pontinha.","Não"
"147","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Melastomataceae","Pleiochiton","blepharodes","(DC.) Reginato et al.","MELASTOMATACEAE Pleiochiton blepharodes (DC.) Reginato et al.","RB01475188",,"RB","Bruniera, C.P.","963","Native","Ouro","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Pontinha","Não"
"156","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Myrtaceae","Psidium","cattleyanum","Sabine","MYRTACEAE Psidium cattleyanum Sabine","SPSF00044722","SPLINK","SPSF","Aranha, B.A.","633","Native","Ouro","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"163","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","pubigera","Schltdl.","RUBIACEAE Psychotria pubigera Schltdl.","RB01475376",,"RB","Dutra, L.L.","231","Native","Ouro","Parque Natural Municipal Nascentes de Paranapiacaba. Início da Trilha dos Gravatás","Não"
"165","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","suterella","Müll.Arg.","RUBIACEAE Psychotria suterella Müll.Arg.","RB01477241",,"RB","Giaquinto, C.B.","038","Native","Ouro","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Estrada da Bela Vista","Não"
"40","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Polygonaceae","Coccoloba","warmingii","Meisn.","POLYGONACEAE Coccoloba warmingii Meisn.","SPSF00044698","SPLINK","SPSF","Aranha, B.A.","608","Native","Prata","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"51","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Primulaceae","Cybianthus","densicomus","Mart.","PRIMULACEAE Cybianthus densicomus Mart.","SPSF00044690","SPLINK","SPSF","Aranha, B.A.","600","Native","Prata","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"69","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Moraceae","Ficus","luschnathiana","(Miq.) Miq.","MORACEAE Ficus luschnathiana (Miq.) Miq.","SPSF00044709","SPLINK","SPSF","Aranha, B.A.","620","Native","Prata","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"87","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Fabaceae","Inga","barbata","Benth.","FABACEAE Inga barbata Benth.","SPSF00044712","SPLINK","SPSF","Aranha, B.A.","623","Native","Prata","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"91","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Balanophoraceae","Langsdorffia","hypogaea","Mart.","BALANOPHORACEAE Langsdorffia hypogaea Mart.","IRAI00007122","SPLINK","IRAI","Villagra, B.L.P.","333","Native","Prata","Parque Natural Municipal Nascentes de Paranapiacaba, Olho D'Água","Não"
"100","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","IRAI00007108","SPLINK","IRAI","Villagra, B.L.P.","332","Native","Prata","Parque Natural Municipal Nascentes de Paranapiacaba, estrada do Taquaruçu, trilha da água fria à jusante","Não"
"141","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Picramniaceae","Picramnia","gardneri","Planch.","PICRAMNIACEAE Picramnia gardneri Planch.","SPSF00044719","SPLINK","SPSF","Aranha, B.A.","630","Native","Prata","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"167","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Quiinaceae","Quiina","glaziovii","Engl.","QUIINACEAE Quiina glaziovii Engl.","SPSF00044697","SPLINK","SPSF","Aranha, B.A.","607","Native","Prata","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"181","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Solanaceae","Solanum","argenteum","Dunal","SOLANACEAE Solanum argenteum Dunal","SPSF00044723","SPLINK","SPSF","Aranha, B.A.","634","Native","Prata","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"182","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Solanaceae","Solanum","bullatum","Vell.","SOLANACEAE Solanum bullatum Vell.","SPSF00044724","SPLINK","SPSF","Aranha, B.A.","635","Native","Prata","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"6","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Alseis","floribunda","Schott","RUBIACEAE Alseis floribunda Schott","SP0514880","SPLINK","SP","Lima, M.E.L.","2268","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Comunidade","Não"
"7","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Amaioua","intermedia","Mart. ex Schult. & Schult.f.","RUBIACEAE Amaioua intermedia Mart. ex Schult. & Schult.f.","RB01475173",,"RB","Dutra, L.L.","319","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba. Estrada do Taquarussu","Não"
"16","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Bathysa","stipulata","(Vell.) C.Presl","RUBIACEAE Bathysa stipulata (Vell.) C.Presl","RB01475415",,"RB","Giaquinto, C.B.","101","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha da Estrada do Taquaruçu, um pouco antes de chegar na guarita da Trilha da Pontinha","Não"
"18","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Borreria","capitata","(Ruiz & Pav.) DC.","RUBIACEAE Borreria capitata (Ruiz & Pav.) DC.","RB01482672",,"RB","Dutra, L.L.","48","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba do Taquarussu","Não"
"19","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Borreria","dasycephala","(Cham. & Schltdl.) Bacigalupo & E.L.Cabral","RUBIACEAE Borreria dasycephala (Cham. & Schltdl.) Bacigalupo & E.L.Cabral","RB01475399",,"RB","Dutra, L.L.","110","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Final do caminho da Bela Vista","Não"
"20","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Borreria","schumannii","(Standl. ex Bacigalupo) E.L.Cabral & Sobrado","RUBIACEAE Borreria schumannii (Standl. ex Bacigalupo) E.L.Cabral & Sobrado","RB01475404",,"RB","Dutra, L.L.","32","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha da Pontinha","Não"
"21","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Borreria","verticillata","(L.) G.Mey.","RUBIACEAE Borreria verticillata (L.) G.Mey.","RB01475406",,"RB","Dutra, L.L.","28","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha da Pontinha","Não"
"28","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Chomelia","pedunculosa","Benth.","RUBIACEAE Chomelia pedunculosa Benth.","RB01475413",,"RB","Giaquinto, C.B.","108","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Núcleo Olho D´Água próximo à entrada da trilha dos Gravatás","Não"
"34","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Clethraceae","Clethra","scabra","Pers.","CLETHRACEAE Clethra scabra Pers.","SPSF00044706","SPLINK","SPSF","Aranha, B.A.","617","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"36","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Coccocypselum","capitatum","(Graham) C.B.Costa & Mamede","RUBIACEAE Coccocypselum capitatum (Graham) C.B.Costa & Mamede","RB01480966",,"RB","Dutra, L.L.","129","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Braço à esquerda na Trilha da Pontinha","Não"
"37","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Coccocypselum","geophiloides","Wawra","RUBIACEAE Coccocypselum geophiloides Wawra","RB01480938",,"RB","Dutra, L.L.","04","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha das Hortênsias","Não"
"50","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Sapindaceae","Cupania","oblongifolia","Mart.","SAPINDACEAE Cupania oblongifolia Mart.","SPSF00044707","SPLINK","SPSF","Aranha, B.A.","618","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"52","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Fabaceae","Dalbergia","frutescens","(Vell.) Britton","FABACEAE Dalbergia frutescens (Vell.) Britton","SPSF00044708","SPLINK","SPSF","Aranha, B.A.","619","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"56","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Diodia","saponariifolia","(Cham. & Schltdl.) K.Schum.","RUBIACEAE Diodia saponariifolia (Cham. & Schltdl.) K.Schum.","RB01475356",,"RB","Dutra, L.L.","68","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba. Estrada da Bela Vista","Não"
"60","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rutaceae","Esenbeckia","grandiflora","Mart.","RUTACEAE Esenbeckia grandiflora Mart.","SPSF00044695","SPLINK","SPSF","Aranha, B.A.","605","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"68","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Faramea","tetragona","Müll.Arg.","RUBIACEAE Faramea tetragona Müll.Arg.","UEC182247","SPLINK","UEC","Dutra, L.L.","281","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Caminho da Bela Vista","Não"
"70","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Galianthe","brasiliensis","(Spreng.) E.L.Cabral & Bacigalupo","RUBIACEAE Galianthe brasiliensis (Spreng.) E.L.Cabral & Bacigalupo","RB01475358",,"RB","Dutra, L.L.","301","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha do Mirante","Não"
"71","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Galianthe","palustris","(Cham. & Schltdl.) Cabaña Fader & E. L. Cabral,","RUBIACEAE Galianthe palustris (Cham. & Schltdl.) Cabaña Fader & E. L. Cabral,","RB01475360",,"RB","Dutra, L.L.","128","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Pontinha","Não"
"75","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Meliaceae","Guarea","macrophylla","Vahl","MELIACEAE Guarea macrophylla Vahl","RB01480950",,"RB","Pacheco, D.L.","8","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha das Hortênsias","Não"
"79","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Chloranthaceae","Hedyosmum","brasiliense","Mart. ex Miq.","CHLORANTHACEAE Hedyosmum brasiliense Mart. ex Miq.","RB01482123",,"RB","Giaquinto, C.B.","12","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba (PNMNP), trilha da Comunidade - Caminho para a piscina da Communidade","Não"
"82","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Malvaceae","Hibiscus","mutabilis","L.","MALVACEAE Hibiscus mutabilis L.","SPSF00044726","SPLINK","SPSF","Aranha, B.A.","637","Cultivated","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"84","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Hillia","parasitica","Jacq.","RUBIACEAE Hillia parasitica Jacq.","RB01476559",,"RB","Dutra, L.L.","290","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba. Caminho da Bela Vista","Não"
"89","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Ixora","gardneriana","Benth.","RUBIACEAE Ixora gardneriana Benth.","SPSF00044704","SPLINK","SPSF","Aranha, B.A.","614","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"92","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Melastomataceae","Leandra","acutiflora","(Naudin) Cogn.","MELASTOMATACEAE Leandra acutiflora (Naudin) Cogn.","SPSF00044692","SPLINK","SPSF","Aranha, B.A.","602","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"93","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Melastomataceae","Leandra","melastomoides","Raddi","MELASTOMATACEAE Leandra melastomoides Raddi","SPSF00044700","SPLINK","SPSF","Aranha, B.A.","610","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"94","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Melastomataceae","Leandra","quinquedentata","(DC.) Cogn.","MELASTOMATACEAE Leandra quinquedentata (DC.) Cogn.","SPSF00044693","SPLINK","SPSF","Aranha, B.A.","603","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"95","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Melastomataceae","Leandra","variabilis","Raddi","MELASTOMATACEAE Leandra variabilis Raddi","SPSF00044713","SPLINK","SPSF","Aranha, B.A.","624","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"97","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Manettia","beyrichiana","K.Schum.","RUBIACEAE Manettia beyrichiana K.Schum.","RB01482667",,"RB","Dutra, L.L.","239","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha da Comunidade","Não"
"106","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Melastomataceae","Miconia","latecrenata","(DC.) Naudin","MELASTOMATACEAE Miconia latecrenata (DC.) Naudin","SPSF00044701","SPLINK","SPSF","Aranha, B.A.","611","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"111","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Monimiaceae","Mollinedia","schottiana","(Spreng.) Perkins","MONIMIACEAE Mollinedia schottiana (Spreng.) Perkins","SPSF00044716","SPLINK","SPSF","Aranha, B.A.","627","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"148","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Melastomataceae","Pleroma","granulosum","(Desr.) D. Don","MELASTOMATACEAE Pleroma granulosum (Desr.) D. Don","SPSF00044725","SPLINK","SPSF","Aranha, B.A.","636","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"153","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Posoqueria","latifolia","(Rudge) Schult.","RUBIACEAE Posoqueria latifolia (Rudge) Schult.","UEC182264","SPLINK","UEC","Dutra, L.L.","320","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Estrada do Taquarussu.","Não"
"157","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","fluminensis","Vell.","RUBIACEAE Psychotria fluminensis Vell.","RB01475423",,"RB","Dutra, L.L.","291","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Caminho da Bela Vista","Não"
"158","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","hastisepala","Müll.Arg.","RUBIACEAE Psychotria hastisepala Müll.Arg.","RB01475355",,"RB","Giaquinto, C.B.","009","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Estrada do Taquaruçu","Não"
"159","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","leiocarpa","Cham. & Schltdl.","RUBIACEAE Psychotria leiocarpa Cham. & Schltdl.","RB01480946",,"RB","Dutra, L.L.","82","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha das Hortênsias","Não"
"160","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","nemorosa","Gardner","RUBIACEAE Psychotria nemorosa Gardner","UEC196279","SPLINK","UEC","Giaquinto, C.B.","114","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Pontinha","Não"
"161","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","nuda","(Cham. & Schltdl.) Wawra","RUBIACEAE Psychotria nuda (Cham. & Schltdl.) Wawra","RB01475313",,"RB","Dutra, L.L.","314","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Estrada do Taquarussu","Não"
"162","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","patentinervia","Müll.Arg.","RUBIACEAE Psychotria patentinervia Müll.Arg.","SPSF00044703","SPLINK","SPSF","Aranha, B.A.","613","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"164","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","stachyoides","Benth.","RUBIACEAE Psychotria stachyoides Benth.","RB01480944",,"RB","Dutra, L.L.","309","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Estrada do Taquarussu","Não"
"169","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Rudgea","jasminoides","(Cham.) Müll.Arg.","RUBIACEAE Rudgea jasminoides (Cham.) Müll.Arg.","RB01475364",,"RB","Giaquinto, C.B.","104","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Pontinha","Não"
"170","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Rudgea","jasminoides","(Benth.) Zappi","RUBIACEAE Rudgea jasminoides subsp. corniculata (Benth.) Zappi","RB01475414",,"RB","Giaquinto, C.B.","091","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha da Comunidade","Não"
"183","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Loganiaceae","Spigelia","tetraptera","Taub. ex L.B.Sm.","LOGANIACEAE Spigelia tetraptera Taub. ex L.B.Sm.","RB01480949",,"RB","Dutra, L.L.","58","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha da Comunidade","Não"
"184","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Loranthaceae","Struthanthus","acuminatus","(Ruiz & Pav.) Kuijt","LORANTHACEAE Struthanthus acuminatus (Ruiz & Pav.) Kuijt","SPSF00044727","SPLINK","SPSF","Aranha, B.A.","638","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"188","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Urticaceae","Urera","nitida","(Vell.) P.Brack","URTICACEAE Urera nitida (Vell.) P.Brack","SPFR018300","SPLINK","SPFR","Nascimento, I.C.","1","Native","Bronze","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha das Hortênsias","Não"
"190","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Asteraceae","Vernonanthura","beyrichii","(Less.) H.Rob.","ASTERACEAE Vernonanthura beyrichii (Less.) H.Rob.","SPSF00044694","SPLINK","SPSF","Aranha, B.A.","604","Native","Bronze","Parque Natural Municipal Nascentes do Paranapiacaba","Não"
"1","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Menispermaceae","Abuta","selloana","Eichler","MENISPERMACEAE Abuta selloana Eichler","442448","GBIF",,,"308","Native","Latão","Parque Natural Municipal Nascentes de Paranapiacaba. Água Fria","Não"
