datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	verbatimlatitude	verbatimlongitude	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited
2023-01-13T12:23:53	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	21975	Plantae				Fabaceae	Quercus	rubra		Quercus rubra	L.		1942	02	18	A.Gehrt	s.n.				F.C.Hoehne						Cultivada em São Paulo, no Jardim do Hospital Alem	0	0	0	0													<nO>Árvore.</nO>	MAC0021975					
2023-01-13T12:23:49	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4878	Plantae				Fabaceae	Pterocarpus	rohrii		Pterocarpus rohrii	Vahl		1960	10	10	W.Hoehne	4081				W.Mantovani	1980	09	20		São Paulo	Viveiro do Jardim Botânico.	-23.934744	-47.060617	-47.060617	-23.934744													<nO>Árvore. Flores amarelas.</nO>	MAC0004878					
2023-01-13T12:23:38	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	52799	Plantae				Fabaceae	Machaerium			Machaerium			2011	07	08	Chagas-Mota	10889									São Paulo	Instituto de Botânica.	-23.900003	-47.050003	-47.050003	-23.900003													<nO>Árvore ca. 5 m de altura. Frutos verdes.; Mata Atlântica.</nO>	MAC0052799					
2024-10-01T08:34:21	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	67580	Plantae				Fabaceae	Mimosa	bocainae		Mimosa bocainae	Barneby		2010	03	06	J.Cordeiro; J.M.Silva	3517				M.Morales	2010				São José do Barreiro	Serra da Bocaina.	-22.645	-44.577778	-44.577778	-22.645													<nO>Arbusto ca. 1,6 m de alt. Frutos imaturos.; Vegetação campo rupestre.</nO>	MAC0067580					
2023-01-13T12:23:45	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	25563	Plantae				Fabaceae	Myroxylon	peruiferum		Myroxylon peruiferum	L.f.		1982	08	01	A.Custódio-Filho	1196				W.Mantovani	1985	10			São Paulo	Parque do Estado.	-22.667808	-47.590586	-47.590586	-22.667808													<nO>Árvore 30m alt., flores brancas. Cultivada.</nO>	MAC0025563					
2023-01-13T12:23:45	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	25613	Plantae				Fabaceae	Myroxylon	peruiferum		Myroxylon peruiferum	L.f.		1933	10	04	F.C.Hoehne	s.n.									Cabreuva		-23.511108	-47.216669	-47.216669	-23.511108													<nO>Árvore grande.</nO>	MAC0025613					
2023-01-13T12:23:45	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4915	Plantae				Fabaceae	Nanogalactia	heterophylla		Nanogalactia heterophylla	(Gillies ex Hook. & Arn.) L.P.Queiroz		1942	01	20	P.Gonçalves	s.n.				O.Hanrno	2021	12	07		Itaquera.		-23.935556	-46.7653	-46.7653	-23.935556													<nO>Erva. Flor purpurea.; Campo.</nO>	MAC0004915					
2023-01-13T12:23:45	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	25564	Plantae				Fabaceae	Periandra	coccinea		Periandra coccinea	(Schrad.) Benth.		1937	09	16	A.Etzel	s.n.				A.Gehrt.					São Paulo	Viveiros da prefeitura.	-23.934744	-47.060617	-47.060617	-23.934744														MAC0025564					
2023-01-13T12:24:07	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4908	Plantae				Fabaceae	Stylosanthes	viscosa		Stylosanthes viscosa	(L.) Sw.		1961	04	19	J.Mattos; N.Mattos	8915				M.B.Ferreira	1977	10	25		Ubatuba	Praia do Perequê.	-23.725447	-46.404167	-46.404167	-23.725447													<nO>Subarbusto. Flores amarelas.; Capoeira.</nO>	MAC0004908					
2023-01-13T12:23:49	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4895	Plantae				Fabaceae	Platypodium	elegans		Platypodium elegans	Vogel		1931	10	06	F.C.Hoehne	s.n.				F.C.Hoehne					Mogi-Mirim.		-22.725022	-47.606003	-47.606003	-22.725022													<nO>Árvore grande do campo.; Borda da Mata.</nO>	MAC0004895					
